site,X,Y,can,imp
WILLTERMD1,333777,4310764,27.76305275,36.48290231
WILLTINVA1,296011,4295755,89.39358553,1.37207037
WISECELMD1,324157,4326483,26.60012382,17.18003939
WOLFAMYDC1,322882,4309712,0,81.0325006
WOLFKARDC1,321362,4312346,5.221931933,48.63064262
WOODELEVA1,313262,4306728,29.66368573,27.4369963
WOODPAUVA1,300855,4301606,67.92688808,3.128758988
WRIGVENMD1,335027,4287569,84.54341812,0.246471524
YOUNELIMD1,319157,4326554,16.59273319,23.60977046
YOUNKIMVA1,301742,4291065,60.70936551,16.44915423
ZAMBTRAMD1,320270,4316913,38.9206214,17.42568587
NE1,324785,4310102,0.713584126,54.97723083
NE3,325240,4309378,0.025320716,70.03497821
NE4,323566,4310455,0.053871514,73.51543387
NE5,328943,4311911,11.02960935,49.18114505
NE6,327663,4311802,14.18855195,43.35162323
NE7,325760,4311030,2.18939262,33.13610016
NW1,320222,4321893,0.012140802,77.88149013
NW2,317522,4323750,0,83.20708726
NW3,318770,4316747,0.072312927,76.70610114
NW4,319011,4314765,2.077992339,57.04217453
