site,visit,species,count,distance,notes,collar
MISSEDDC1,5,squirrel,0,,,
MISSEDDC1,5,dog,0,,,
MISSEDDC1,6,cat,1,13,Edith,N
MISSEDDC1,6,squirrel,0,,,
MISSEDDC1,6,dog,0,,,
MOLIKARMD1,1,cat,1,30,Kevin,U
MOLIKARMD1,2,cat,0,,,
MOLIKARMD1,3,cat,1,8,Karl,N
MOLIKARMD1,4,cat,1,5,Karl,N
MOLIKARMD1,5,cat,0,,,
MOLIKARMD1,5,squirrel,0,,,
MOLIKARMD1,5,dog,1,9,,
MOLIKARMD1,5,dog,1,14,,
MOLIKARMD1,6,cat,0,,,
MOLIKARMD1,6,squirrel,1,5,,
MOLIKARMD1,6,dog,0,,,
MORRCHRVA1,1,cat,0,,,
MORRCHRVA1,2,cat,0,,,
MORRCHRVA1,3,cat,0,,,
MORRCHRVA1,4,cat,0,,,
MORRCHRVA1,4,squirrel,0,,,
MORRCHRVA1,4,dog,0,,,
MORRCHRVA1,5,cat,0,,,
MORRCHRVA1,5,squirrel,0,,,
MORRCHRVA1,5,dog,0,,,
MORRCHRVA1,6,cat,0,,,
MORRCHRVA1,6,squirrel,0,,,
MORRCHRVA1,6,dog,0,,,
MOSMCARMD1,1,cat,0,,,
MOSMCARMD1,2,cat,0,,,
MOSMCARMD1,3,cat,0,,,
MOSMCARMD1,3,squirrel,1,5,,
MOSMCARMD1,3,dog,0,,,
MOSMCARMD1,4,cat,0,,,
MOSMCARMD1,4,squirrel,1,5,,
MOSMCARMD1,4,squirrel,1,5,,
MOSMCARMD1,4,squirrel,1,10,,
MOSMCARMD1,5,cat,0,,,
MOSMCARMD1,5,squirrel,0,,,
MOSMCARMD1,5,dog,0,,,
MOSMCARMD1,6,cat,1,7,Colin,U
MOSMCARMD1,6,squirrel,0,,,
MOSMCARMD1,6,dog,1,3,,
NEWBCARVA1,1,cat,0,,,
NEWBCARVA1,2,cat,0,,,
NEWBCARVA1,3,cat,0,,,
NEWBCARVA1,4,cat,0,,,
NEWBCARVA1,5,cat,0,,,
NEWBCARVA1,5,squirrel,0,,,
NEWBCARVA1,5,dog,0,,,
NEWBCARVA1,6,cat,0,,,
NEWBCARVA1,6,squirrel,0,,,
NEWBCARVA1,6,dog,0,,,
OBRICHRMD1,1,cat,0,,,
OBRICHRMD1,2,cat,0,,,
OBRICHRMD1,3,cat,1,6,Cranston,N
OBRICHRMD1,3,squirrel,0,,,
OBRICHRMD1,3,dog,0,,,
OBRICHRMD1,4,cat,0,,,
OBRICHRMD1,4,squirrel,1,28,,
OBRICHRMD1,4,dog,0,,,
OBRICHRMD1,5,cat,1,20,Cheeto,N
OBRICHRMD1,5,cat,1,20,Cheep,N
OBRICHRMD1,5,cat,1,10,Cheez-it,N
OBRICHRMD1,5,cat,1,20,Cheese-whiz,N
OBRICHRMD1,5,cat,1,9,Cranston,N
OBRICHRMD1,5,squirrel,1,12,,
OBRICHRMD1,5,squirrel,1,14,,
OBRICHRMD1,5,dog,0,,,
OBRICHRMD1,6,cat,1,20,Cheese-whiz,N
OBRICHRMD1,6,cat,1,19,Cheeto,N
OBRICHRMD1,6,cat,1,10,Clive,N
