site,date,day,tempHigh,tempLow,dewLow
BEALTOMMD1,2016-07-13,8,90,75,68
BEALTOMMD1,2016-07-14,9,98,75,68
BEALTOMMD1,2016-07-15,10,94,76,62
BEALTOMMD1,2016-07-16,11,93,72,66
BEALTOMMD1,2016-07-17,12,93,71,61
BEALTOMMD1,2016-07-18,13,95,73,66
BEALTOMMD1,2016-07-19,14,92,70,63
BEALTOMMD1,2016-08-21,15,91,74,62
BEALTOMMD1,2016-08-22,16,85,69,56
BEALTOMMD1,2016-08-23,17,84,67,56
BEALTOMMD1,2016-08-24,18,86,67,60
BEALTOMMD1,2016-08-25,19,89,71,63
BEALTOMMD1,2016-08-26,20,95,77,65
BEALTOMMD1,2016-08-27,21,92,77,68
BLOCDAVMD1,2016-06-27,1,87,68,62
BLOCDAVMD1,2016-06-28,2,87,69,64
BLOCDAVMD1,2016-06-29,3,82,68,55
BLOCDAVMD1,2016-06-30,4,84,65,53
BLOCDAVMD1,2016-07-01,5,88,71,66
BLOCDAVMD1,2016-07-02,6,80,70,50
BLOCDAVMD1,2016-07-03,7,74,64,54
BLOCDAVMD1,2016-07-13,8,90,75,68
BLOCDAVMD1,2016-07-14,9,98,75,68
BLOCDAVMD1,2016-07-15,10,94,76,62
BLOCDAVMD1,2016-07-16,11,93,72,66
BLOCDAVMD1,2016-07-17,12,93,71,61
BLOCDAVMD1,2016-07-18,13,95,73,66
BLOCDAVMD1,2016-07-19,14,92,70,63
BLOCDAVMD1,2016-08-05,15,85,73,66
BLOCDAVMD1,2016-08-06,16,94,75,69
BLOCDAVMD1,2016-08-07,17,92,71,56
BLOCDAVMD1,2016-08-08,18,92,70,56
BLOCDAVMD1,2016-08-09,19,81,68,62
BLOCDAVMD1,2016-08-10,20,95,77,71
BLOCDAVMD1,2016-08-11,21,97,78,70
BRIGKIMMD1,2016-06-09,1,82,53,39
BRIGKIMMD1,2016-06-10,2,82,63,37
BRIGKIMMD1,2016-06-11,3,96,66,58
BRIGKIMMD1,2016-06-12,4,93,70,34
BRIGKIMMD1,2016-06-13,5,81,64,42
BRIGKIMMD1,2016-06-14,6,81,67,45
BRIGKIMMD1,2016-06-15,7,83,66,58
BRIGKIMMD1,2016-07-05,8,91,74,70
BRIGKIMMD1,2016-07-06,9,94,77,69
BRIGKIMMD1,2016-07-07,10,93,77,69
BRIGKIMMD1,2016-07-08,11,91,77,68
BRIGKIMMD1,2016-07-09,12,93,78,61
BRIGKIMMD1,2016-07-10,13,86,74,60
BRIGKIMMD1,2016-07-11,14,88,70,52
BRIGKIMMD1,2016-08-02,15,91,75,67
BRIGKIMMD1,2016-08-03,16,83,72,64
BRIGKIMMD1,2016-08-04,17,86,70,59
BRIGKIMMD1,2016-08-05,18,85,73,66
BRIGKIMMD1,2016-08-06,19,94,75,69
BRIGKIMMD1,2016-08-07,20,92,71,56
BRIGKIMMD1,2016-08-08,21,92,70,56
BROWANNDC1,2016-06-15,1,83,66,58
BROWANNDC1,2016-06-16,2,89,68,65
BROWANNDC1,2016-06-17,3,82,66,55
BROWANNDC1,2016-06-18,4,85,66,51
BROWANNDC1,2016-06-19,5,90,65,51
BROWANNDC1,2016-06-20,6,91,68,55
BROWANNDC1,2016-06-21,7,91,72,61
BROWANNDC1,2016-07-11,8,88,70,52
BROWANNDC1,2016-07-12,9,87,73,62
BROWANNDC1,2016-07-13,10,90,75,68
BROWANNDC1,2016-07-14,11,98,75,68
BROWANNDC1,2016-07-15,12,94,76,62
BROWANNDC1,2016-07-16,13,93,72,66
BROWANNDC1,2016-07-17,14,93,71,61
BROWANNDC1,2016-08-22,15,85,69,56
BROWANNDC1,2016-08-23,16,84,67,56
BROWANNDC1,2016-08-24,17,86,67,60
BROWANNDC1,2016-08-25,18,89,71,63
BROWANNDC1,2016-08-26,19,95,77,65
BROWANNDC1,2016-08-27,20,92,77,68
BROWANNDC1,2016-08-28,21,90,74,59
BROWANNMD1,2016-06-21,1,91,72,61
BROWANNMD1,2016-06-22,2,86,69,50
BROWANNMD1,2016-06-23,3,82,70,67
BROWANNMD1,2016-06-24,4,86,71,67
BROWANNMD1,2016-06-25,5,85,72,57
BROWANNMD1,2016-06-26,6,86,66,49
BROWANNMD1,2016-06-27,7,87,68,62
BROWANNMD1,2016-07-05,8,91,74,70
BROWANNMD1,2016-07-06,9,94,77,69
BROWANNMD1,2016-07-07,10,93,77,69
BROWANNMD1,2016-07-08,11,91,77,68
BROWANNMD1,2016-07-09,12,93,78,61
BROWANNMD1,2016-07-10,13,86,74,60
BROWANNMD1,2016-07-11,14,88,70,52
BROWANNMD1,2016-08-02,15,91,75,67
BROWANNMD1,2016-08-03,16,83,72,64
BROWANNMD1,2016-08-04,17,86,70,59
BROWANNMD1,2016-08-05,18,85,73,66
BROWANNMD1,2016-08-06,19,94,75,69
BROWANNMD1,2016-08-07,20,92,71,56
BROWANNMD1,2016-08-08,21,92,70,56
BUISNORVA1,2016-06-06,1,87,69,57
BUISNORVA1,2016-06-07,2,87,65,50
BUISNORVA1,2016-06-08,3,74,62,38
BUISNORVA1,2016-06-09,4,82,53,39
BUISNORVA1,2016-06-10,5,82,63,37
BUISNORVA1,2016-06-11,6,96,66,58
BUISNORVA1,2016-06-12,7,93,70,34
BUISNORVA1,2016-07-25,8,100,81,69
BUISNORVA1,2016-07-26,9,98,80,64
BUISNORVA1,2016-07-27,10,97,81,60
BUISNORVA1,2016-07-28,11,95,77,69
BUISNORVA1,2016-07-29,12,92,75,67
BUISNORVA1,2016-07-30,13,90,74,71
BUISNORVA1,2016-07-31,14,92,75,69
BUISNORVA1,2016-08-08,15,92,70,56
BUISNORVA1,2016-08-09,16,81,68,62
BUISNORVA1,2016-08-10,17,95,77,71
BUISNORVA1,2016-08-11,18,97,78,70
BUISNORVA1,2016-08-12,19,99,81,73
BUISNORVA1,2016-08-13,20,101,80,68
BUISNORVA1,2016-08-14,21,100,80,68
BURDROBVA1,2016-06-13,1,81,64,42
BURDROBVA1,2016-06-14,2,81,67,45
BURDROBVA1,2016-06-15,3,83,66,58
BURDROBVA1,2016-06-16,4,89,68,65
BURDROBVA1,2016-06-17,5,82,66,55
BURDROBVA1,2016-06-18,6,85,66,51
BURDROBVA1,2016-06-19,7,90,65,51
BURDROBVA1,2016-07-18,8,95,73,66
BURDROBVA1,2016-07-19,9,92,70,63
BURDROBVA1,2016-07-20,10,89,70,59
BURDROBVA1,2016-07-21,11,90,71,62
BURDROBVA1,2016-07-22,12,95,74,68
BURDROBVA1,2016-07-23,13,98,79,68
BURDROBVA1,2016-07-24,14,97,80,64
BURDROBVA1,2016-08-22,15,85,69,56
BURDROBVA1,2016-08-23,16,84,67,56
BURDROBVA1,2016-08-24,17,86,67,60
BURDROBVA1,2016-08-25,18,89,71,63
BURDROBVA1,2016-08-26,19,95,77,65
BURDROBVA1,2016-08-27,20,92,77,68
BURDROBVA1,2016-08-28,21,90,74,59
CAMPGLOMD1,2016-06-17,1,82,66,55
CAMPGLOMD1,2016-06-18,2,85,66,51
CAMPGLOMD1,2016-06-19,3,90,65,51
CAMPGLOMD1,2016-06-20,4,91,68,55
CAMPGLOMD1,2016-06-21,5,91,72,61
CAMPGLOMD1,2016-06-22,6,86,69,50
CAMPGLOMD1,2016-06-23,7,82,70,67
CAMPGLOMD1,2016-07-06,8,94,77,69
CAMPGLOMD1,2016-07-07,9,93,77,69
CAMPGLOMD1,2016-07-08,10,91,77,68
CAMPGLOMD1,2016-07-09,11,93,78,61
CAMPGLOMD1,2016-07-10,12,86,74,60
CAMPGLOMD1,2016-07-11,13,88,70,52
CAMPGLOMD1,2016-07-12,14,87,73,62
CAMPGLOMD1,2016-08-02,15,91,75,67
CAMPGLOMD1,2016-08-03,16,83,72,64
CAMPGLOMD1,2016-08-04,17,86,70,59
CAMPGLOMD1,2016-08-05,18,85,73,66
CAMPGLOMD1,2016-08-06,19,94,75,69
CAMPGLOMD1,2016-08-07,20,92,71,56
CAMPGLOMD1,2016-08-08,21,92,70,56
CAMPROSMD1,2016-06-20,1,91,68,55
CAMPROSMD1,2016-06-21,2,91,72,61
CAMPROSMD1,2016-06-22,3,86,69,50
CAMPROSMD1,2016-06-23,4,82,70,67
CAMPROSMD1,2016-06-24,5,86,71,67
CAMPROSMD1,2016-06-25,6,85,72,57
CAMPROSMD1,2016-06-26,7,86,66,49
CAMPROSMD1,2016-07-15,8,94,76,62
CAMPROSMD1,2016-07-16,9,93,72,66
CAMPROSMD1,2016-07-17,10,93,71,61
CAMPROSMD1,2016-07-18,11,95,73,66
CAMPROSMD1,2016-07-19,12,92,70,63
CAMPROSMD1,2016-07-20,13,89,70,59
CAMPROSMD1,2016-07-21,14,90,71,62
CAMPROSMD1,2016-08-13,15,101,81,74
CAMPROSMD1,2016-08-14,16,100,80,68
CAMPROSMD1,2016-08-15,17,100,73,69
CAMPROSMD1,2016-08-16,18,97,75,72
CAMPROSMD1,2016-08-17,19,95,72,68
CAMPROSMD1,2016-08-18,20,92,74,67
CAMPROSMD1,2016-08-19,21,92,74,60
CLARCOLDC1,2016-06-24,1,86,71,67
CLARCOLDC1,2016-06-25,2,85,72,57
CLARCOLDC1,2016-06-26,3,86,66,49
CLARCOLDC1,2016-06-27,4,87,68,62
CLARCOLDC1,2016-06-28,5,87,69,64
CLARCOLDC1,2016-06-29,6,82,68,55
CLARCOLDC1,2016-06-30,7,84,65,53
CLARCOLDC1,2016-07-07,8,93,77,69
CLARCOLDC1,2016-07-08,9,91,77,68
CLARCOLDC1,2016-07-09,10,93,78,61
CLARCOLDC1,2016-07-10,11,86,74,60
CLARCOLDC1,2016-07-11,12,88,70,52
CLARCOLDC1,2016-07-12,13,87,73,62
CLARCOLDC1,2016-07-13,14,90,75,68
CLARCOLDC1,2016-08-15,15,100,73,69
CLARCOLDC1,2016-08-16,16,97,75,72
CLARCOLDC1,2016-08-17,17,95,72,68
CLARCOLDC1,2016-08-18,18,92,74,67
CLARCOLDC1,2016-08-19,19,92,74,60
CLARCOLDC1,2016-08-20,20,91,75,58
CLARCOLDC1,2016-08-21,21,91,74,62
COLSKATMD1,2016-06-14,1,81,67,45
COLSKATMD1,2016-06-15,2,83,66,58
COLSKATMD1,2016-06-16,3,89,68,65
COLSKATMD1,2016-06-17,4,82,66,55
COLSKATMD1,2016-06-18,5,85,66,51
COLSKATMD1,2016-06-19,6,90,65,51
COLSKATMD1,2016-06-20,7,91,68,55
COLSKATMD1,2016-07-12,8,87,73,62
COLSKATMD1,2016-07-13,9,90,75,68
COLSKATMD1,2016-07-14,10,98,75,68
COLSKATMD1,2016-07-15,11,94,76,62
COLSKATMD1,2016-07-16,12,93,72,66
COLSKATMD1,2016-07-17,13,93,71,61
COLSKATMD1,2016-07-18,14,95,73,66
COLSKATMD1,2016-08-16,15,97,75,72
COLSKATMD1,2016-08-17,16,95,72,68
COLSKATMD1,2016-08-18,17,92,74,67
COLSKATMD1,2016-08-19,18,92,74,60
COLSKATMD1,2016-08-20,19,91,75,58
COLSKATMD1,2016-08-21,20,91,74,62
COLSKATMD1,2016-08-22,21,85,69,56
EGANMARMD1,2016-06-10,1,82,63,37
EGANMARMD1,2016-06-11,2,96,66,58
EGANMARMD1,2016-06-12,3,93,70,34
EGANMARMD1,2016-06-13,4,81,64,42
EGANMARMD1,2016-06-14,5,81,67,45
EGANMARMD1,2016-06-15,6,83,66,58
EGANMARMD1,2016-06-16,7,89,68,65
EGANMARMD1,2016-07-04,8,74,68,65
EGANMARMD1,2016-07-05,9,91,74,70
EGANMARMD1,2016-07-06,10,94,77,69
EGANMARMD1,2016-07-07,11,93,77,69
EGANMARMD1,2016-07-08,12,91,77,68
EGANMARMD1,2016-07-09,13,93,78,61
EGANMARMD1,2016-07-10,14,86,74,60
EGANMARMD1,2016-08-03,15,83,72,64
EGANMARMD1,2016-08-04,16,86,70,59
EGANMARMD1,2016-08-05,17,85,73,66
EGANMARMD1,2016-08-06,18,94,75,69
EGANMARMD1,2016-08-07,19,92,71,56
EGANMARMD1,2016-08-08,20,92,70,56
EGANMARMD1,2016-08-09,21,81,68,62
FARYSIMMD1,2016-06-16,1,89,68,65
FARYSIMMD1,2016-06-17,2,82,66,55
FARYSIMMD1,2016-06-18,3,85,66,51
FARYSIMMD1,2016-06-19,4,90,65,51
FARYSIMMD1,2016-06-20,5,91,68,55
FARYSIMMD1,2016-06-21,6,91,72,61
FARYSIMMD1,2016-06-22,7,86,69,50
FARYSIMMD1,2016-07-11,8,88,70,52
FARYSIMMD1,2016-07-12,9,87,73,62
FARYSIMMD1,2016-07-13,10,90,75,68
FARYSIMMD1,2016-07-14,11,98,75,68
FARYSIMMD1,2016-07-15,12,94,76,62
FARYSIMMD1,2016-07-16,13,93,72,66
FARYSIMMD1,2016-07-17,14,93,71,61
FARYSIMMD1,2016-08-13,15,101,81,74
FARYSIMMD1,2016-08-14,16,100,80,68
FARYSIMMD1,2016-08-15,17,100,73,69
FARYSIMMD1,2016-08-16,18,97,75,72
FARYSIMMD1,2016-08-17,19,95,72,68
FARYSIMMD1,2016-08-18,20,92,74,67
FARYSIMMD1,2016-08-19,21,92,74,60
FISHFERVA1,2016-06-09,1,82,53,39
FISHFERVA1,2016-06-10,2,82,63,37
FISHFERVA1,2016-06-11,3,96,66,58
FISHFERVA1,2016-06-12,4,93,70,34
FISHFERVA1,2016-06-13,5,81,64,42
FISHFERVA1,2016-06-14,6,81,67,45
FISHFERVA1,2016-06-15,7,83,66,58
FISHFERVA1,2016-07-25,8,100,81,69
FISHFERVA1,2016-07-26,9,98,80,64
FISHFERVA1,2016-07-27,10,97,81,60
FISHFERVA1,2016-07-28,11,95,77,69
FISHFERVA1,2016-07-29,12,92,75,67
FISHFERVA1,2016-07-30,13,90,74,71
FISHFERVA1,2016-07-31,14,92,75,69
FISHFERVA1,2016-08-19,15,92,74,60
FISHFERVA1,2016-08-20,16,91,75,58
FISHFERVA1,2016-08-21,17,91,74,62
FISHFERVA1,2016-08-22,18,85,69,56
FISHFERVA1,2016-08-23,19,84,67,56
FISHFERVA1,2016-08-24,20,86,67,60
FISHFERVA1,2016-08-25,21,89,71,63
GECACARVA1,2016-06-13,1,81,64,42
GECACARVA1,2016-06-14,2,81,67,45
GECACARVA1,2016-06-15,3,83,66,58
GECACARVA1,2016-06-16,4,89,68,65
GECACARVA1,2016-06-17,5,82,66,55
GECACARVA1,2016-06-18,6,85,66,51
GECACARVA1,2016-06-19,7,90,65,51
GECACARVA1,2016-07-07,8,93,77,69
GECACARVA1,2016-07-08,9,91,77,68
GECACARVA1,2016-07-09,10,93,78,61
GECACARVA1,2016-07-10,11,86,74,60
GECACARVA1,2016-07-11,12,88,70,52
GECACARVA1,2016-07-12,13,87,73,62
GECACARVA1,2016-07-13,14,90,75,68
GECACARVA1,2016-08-19,15,92,74,60
GECACARVA1,2016-08-20,16,91,75,58
GECACARVA1,2016-08-21,17,91,74,62
GECACARVA1,2016-08-22,18,85,69,56
GECACARVA1,2016-08-23,19,84,67,56
GECACARVA1,2016-08-24,20,86,67,60
GECACARVA1,2016-08-25,21,89,71,63
JACOMERMD1,2016-06-21,1,91,72,61
JACOMERMD1,2016-06-22,2,86,69,50
JACOMERMD1,2016-06-23,3,82,70,67
JACOMERMD1,2016-06-24,4,86,71,67
JACOMERMD1,2016-06-25,5,85,72,57
JACOMERMD1,2016-06-26,6,86,66,49
JACOMERMD1,2016-06-27,7,87,68,62
JACOMERMD1,2016-07-20,8,89,70,59
JACOMERMD1,2016-07-21,9,90,71,62
JACOMERMD1,2016-07-22,10,95,74,68
JACOMERMD1,2016-07-23,11,98,79,68
JACOMERMD1,2016-07-24,12,97,80,64
JACOMERMD1,2016-07-25,13,100,81,69
JACOMERMD1,2016-07-26,14,98,80,64
JACOMERMD1,2016-08-17,15,95,72,68
JACOMERMD1,2016-08-18,16,92,74,67
JACOMERMD1,2016-08-19,17,92,74,60
JACOMERMD1,2016-08-20,18,91,75,58
JACOMERMD1,2016-08-21,19,91,74,62
JACOMERMD1,2016-08-22,20,85,69,56
JACOMERMD1,2016-08-23,21,84,67,56
KESTSABDC1,2016-06-14,1,81,67,45
KESTSABDC1,2016-06-15,2,83,66,58
KESTSABDC1,2016-06-16,3,89,68,65
KESTSABDC1,2016-06-17,4,82,66,55
KESTSABDC1,2016-06-18,5,85,66,51
KESTSABDC1,2016-06-19,6,90,65,51
KESTSABDC1,2016-06-20,7,91,68,55
KESTSABDC1,2016-07-21,8,90,71,62
KESTSABDC1,2016-07-22,9,95,74,68
KESTSABDC1,2016-07-23,10,98,79,68
KESTSABDC1,2016-07-24,11,97,80,64
KESTSABDC1,2016-07-25,12,100,81,69
KESTSABDC1,2016-07-26,13,98,80,64
KESTSABDC1,2016-07-27,14,97,81,60
KESTSABDC1,2016-08-08,15,92,70,56
KESTSABDC1,2016-08-09,16,81,68,62
KESTSABDC1,2016-08-10,17,95,77,71
KESTSABDC1,2016-08-11,18,97,78,70
KESTSABDC1,2016-08-12,19,99,81,73
KESTSABDC1,2016-08-13,20,101,81,74
KESTSABDC1,2016-08-14,21,100,80,68
KEYESUSMD1,2016-06-10,1,82,63,37
KEYESUSMD1,2016-06-11,2,96,66,58
KEYESUSMD1,2016-06-12,3,93,70,34
KEYESUSMD1,2016-06-13,4,81,64,42
KEYESUSMD1,2016-06-14,5,81,67,45
KEYESUSMD1,2016-06-15,6,83,66,58
KEYESUSMD1,2016-06-16,7,89,68,65
KEYESUSMD1,2016-07-20,8,89,70,59
KEYESUSMD1,2016-07-21,9,90,71,62
KEYESUSMD1,2016-07-22,10,95,74,68
KEYESUSMD1,2016-07-23,11,98,79,68
KEYESUSMD1,2016-07-24,12,97,80,64
KEYESUSMD1,2016-07-25,13,100,81,69
KEYESUSMD1,2016-07-26,14,98,80,64
KEYESUSMD1,2016-08-03,15,83,72,64
KEYESUSMD1,2016-08-04,16,86,70,59
KEYESUSMD1,2016-08-05,17,85,73,66
KEYESUSMD1,2016-08-06,18,94,75,69
KEYESUSMD1,2016-08-07,19,92,71,56
KEYESUSMD1,2016-08-08,20,92,70,56
KEYESUSMD1,2016-08-09,21,81,68,62
LANDCELVA1,2016-06-16,1,89,68,65
LANDCELVA1,2016-06-17,2,82,66,55
LANDCELVA1,2016-06-18,3,85,66,51
LANDCELVA1,2016-06-19,4,90,65,51
LANDCELVA1,2016-06-20,5,91,68,55
LANDCELVA1,2016-06-21,6,91,72,61
LANDCELVA1,2016-06-22,7,86,69,50
LANDCELVA1,2016-07-25,8,100,81,69
LANDCELVA1,2016-07-26,9,98,80,64
LANDCELVA1,2016-07-27,10,97,81,60
LANDCELVA1,2016-07-28,11,95,77,69
LANDCELVA1,2016-07-29,12,92,75,67
LANDCELVA1,2016-07-30,13,90,74,71
LANDCELVA1,2016-07-31,14,92,75,69
LANDCELVA1,2016-08-08,15,92,70,56
LANDCELVA1,2016-08-09,16,81,68,62
LANDCELVA1,2016-08-10,17,95,77,71
LANDCELVA1,2016-08-11,18,97,78,70
LANDCELVA1,2016-08-12,19,99,81,73
LANDCELVA1,2016-08-13,20,101,81,74
LANDCELVA1,2016-08-14,21,100,80,68
LEONTESDC1,2016-06-06,1,87,69,57
LEONTESDC1,2016-06-07,2,87,65,50
LEONTESDC1,2016-06-08,3,74,62,38
LEONTESDC1,2016-06-09,4,82,53,39
LEONTESDC1,2016-06-10,5,82,63,37
LEONTESDC1,2016-06-11,6,96,66,58
LEONTESDC1,2016-06-12,7,93,70,34
LEONTESDC1,2016-07-28,8,95,77,69
LEONTESDC1,2016-07-29,9,92,75,67
LEONTESDC1,2016-07-30,10,90,74,71
LEONTESDC1,2016-07-31,11,92,75,69
LEONTESDC1,2016-08-01,12,93,76,69
LEONTESDC1,2016-08-02,13,91,75,67
LEONTESDC1,2016-08-03,14,83,72,64
LEONTESDC1,2016-08-14,15,100,80,68
LEONTESDC1,2016-08-15,16,100,73,69
LEONTESDC1,2016-08-16,17,97,75,72
LEONTESDC1,2016-08-17,18,95,72,68
LEONTESDC1,2016-08-18,19,92,74,67
LEONTESDC1,2016-08-19,20,92,74,60
LEONTESDC1,2016-08-20,21,91,75,58
MANNJANDC1,2016-06-08,1,74,62,38
MANNJANDC1,2016-06-09,2,82,53,39
MANNJANDC1,2016-06-10,3,82,63,37
MANNJANDC1,2016-06-11,4,96,66,58
MANNJANDC1,2016-06-12,5,93,70,34
MANNJANDC1,2016-06-13,6,81,64,42
MANNJANDC1,2016-06-14,7,81,67,45
MANNJANDC1,2016-07-04,8,74,68,65
MANNJANDC1,2016-07-05,9,91,74,70
MANNJANDC1,2016-07-06,10,94,77,69
MANNJANDC1,2016-07-07,11,93,77,69
MANNJANDC1,2016-07-08,12,91,77,68
MANNJANDC1,2016-07-09,13,93,78,61
MANNJANDC1,2016-07-10,14,86,74,60
MANNJANDC1,2016-08-18,15,92,74,67
MANNJANDC1,2016-08-19,16,92,74,60
MANNJANDC1,2016-08-20,17,91,75,58
MANNJANDC1,2016-08-21,18,91,74,62
MANNJANDC1,2016-08-22,19,85,69,56
MANNJANDC1,2016-08-23,20,84,67,56
MANNJANDC1,2016-08-24,21,86,67,60
MCDOELIVA1,2016-06-30,1,84,65,53
MCDOELIVA1,2016-07-01,2,88,71,66
MCDOELIVA1,2016-07-02,3,80,70,50
MCDOELIVA1,2016-07-03,4,74,64,54
MCDOELIVA1,2016-07-04,5,74,68,65
MCDOELIVA1,2016-07-05,6,91,74,70
MCDOELIVA1,2016-07-06,7,94,77,69
MCDOELIVA1,2016-07-14,8,98,75,68
MCDOELIVA1,2016-07-15,9,94,76,62
MCDOELIVA1,2016-07-16,10,93,72,66
MCDOELIVA1,2016-07-17,11,93,71,61
MCDOELIVA1,2016-07-18,12,95,73,66
MCDOELIVA1,2016-07-19,13,92,70,63
MCDOELIVA1,2016-07-20,14,89,70,59
MCDOELIVA1,2016-08-01,15,93,76,69
MCDOELIVA1,2016-08-02,16,91,75,67
MCDOELIVA1,2016-08-03,17,83,72,64
MCDOELIVA1,2016-08-04,18,86,70,59
MCDOELIVA1,2016-08-05,19,85,73,66
MCDOELIVA1,2016-08-06,20,94,75,69
MCDOELIVA1,2016-08-07,21,92,71,56
MOLIKARMD1,2016-06-07,1,87,65,50
MOLIKARMD1,2016-06-08,2,74,62,38
MOLIKARMD1,2016-06-09,3,82,53,39
MOLIKARMD1,2016-06-10,4,82,63,37
MOLIKARMD1,2016-06-11,5,96,66,58
MOLIKARMD1,2016-06-12,6,93,70,34
MOLIKARMD1,2016-06-13,7,81,64,42
MOLIKARMD1,2016-07-08,8,91,77,68
MOLIKARMD1,2016-07-09,9,93,78,61
MOLIKARMD1,2016-07-10,10,86,74,60
MOLIKARMD1,2016-07-11,11,88,70,52
MOLIKARMD1,2016-07-12,12,87,73,62
MOLIKARMD1,2016-07-13,13,90,75,68
MOLIKARMD1,2016-07-14,14,98,75,68
MOLIKARMD1,2016-08-21,15,91,74,62
MOLIKARMD1,2016-08-22,16,85,69,56
MOLIKARMD1,2016-08-23,17,84,67,56
MOLIKARMD1,2016-08-24,18,86,67,60
MOLIKARMD1,2016-08-25,19,89,71,63
MOLIKARMD1,2016-08-26,20,95,77,65
MOLIKARMD1,2016-08-27,21,92,77,68
MORRCHRVA1,2016-06-27,1,87,68,62
MORRCHRVA1,2016-06-28,2,87,69,64
MORRCHRVA1,2016-06-29,3,82,68,55
MORRCHRVA1,2016-06-30,4,84,65,53
MORRCHRVA1,2016-07-01,5,88,71,66
MORRCHRVA1,2016-07-02,6,80,70,50
MORRCHRVA1,2016-07-03,7,74,64,54
MORRCHRVA1,2016-07-18,8,95,73,66
MORRCHRVA1,2016-07-19,9,92,70,63
MORRCHRVA1,2016-07-20,10,89,70,59
MORRCHRVA1,2016-07-21,11,90,71,62
MORRCHRVA1,2016-07-22,12,95,74,68
MORRCHRVA1,2016-07-23,13,98,79,68
MORRCHRVA1,2016-07-24,14,97,80,64
MORRCHRVA1,2016-08-01,15,93,76,69
MORRCHRVA1,2016-08-02,16,91,75,67
MORRCHRVA1,2016-08-03,17,83,72,64
MORRCHRVA1,2016-08-04,18,86,70,59
MORRCHRVA1,2016-08-05,19,85,73,66
MORRCHRVA1,2016-08-06,20,94,75,69
MORRCHRVA1,2016-08-07,21,92,71,56
MOSMCARMD1,2016-06-28,1,87,69,64
MOSMCARMD1,2016-06-29,2,82,68,55
MOSMCARMD1,2016-06-30,3,84,65,53
MOSMCARMD1,2016-07-01,4,88,71,66
MOSMCARMD1,2016-07-02,5,80,70,50
MOSMCARMD1,2016-07-03,6,74,64,54
MOSMCARMD1,2016-07-04,7,74,68,65
MOSMCARMD1,2016-07-19,8,92,70,63
MOSMCARMD1,2016-07-20,9,89,70,59
MOSMCARMD1,2016-07-21,10,90,71,62
MOSMCARMD1,2016-07-22,11,95,74,68
MOSMCARMD1,2016-07-23,12,98,79,68
MOSMCARMD1,2016-07-24,13,97,80,64
MOSMCARMD1,2016-07-25,14,100,81,69
MOSMCARMD1,2016-08-23,15,84,67,56
MOSMCARMD1,2016-08-24,16,86,67,60
MOSMCARMD1,2016-08-25,17,89,71,63
MOSMCARMD1,2016-08-26,18,95,77,65
MOSMCARMD1,2016-08-27,19,92,77,68
MOSMCARMD1,2016-08-28,20,90,74,59
MOSMCARMD1,2016-08-29,21,94,72,66
NEWBCARVA1,2016-06-15,1,83,66,58
NEWBCARVA1,2016-06-16,2,89,68,65
