"site","abund","SE","lower","upper","lon","lat","fips","can","imp","medianIncome","hDensity","age","marred","eduHS"
"PADORAMVA1",1.09310928774895,0.341730988802338,0.59233594548965,2.01733635418136,-77.1034207503836,38.7852933604881,51059420700,47.60664292,15.11515326,103071,0.00136285880455225,39.6,0.631733594515181,0.875763747454175
"PERRCHRMD1",0.956987268721276,0.337667260017926,0.48317512746056,1.92873863752972,-76.5480020347082,39.0104043301862,24003702702,98.61435002,0,133846,0.000268309211794368,50.9,0.733575437438098,0.972962680883473
"PHARAIMMD1",0.962290026557728,0.337392583581436,0.48748113704931,1.92850443414431,-76.4700864231309,39.0174585594387,24003730902,83.85746467,0.654714774,133333,0.000234863872589481,43.9,0.619517171030262,0.947833065810594
"PIROELADC1",1.25486708026479,0.449999694088063,0.624377447850416,2.5466345179697,-77.0823761439404,38.9574333758481,11001001100,14.99615988,47.63817169,121250,0.00254804119333263,47.5,0.488985586075605,0.968288177339901
"REITBOBMD1",1.13789445473981,0.353259918833509,0.619237870606862,2.09107423847791,-77.0205170238247,38.9942105859503,24031702402,26.15622598,20.05853178,67908,0.00443799863988456,35.6,0.354504756575266,0.906150919467343
"ROHRSALMD1",0.960734975418286,0.337473918725222,0.486212898572917,1.92854306407038,-76.5534926215145,38.8599418467417,24003701400,61.16224778,0.463756779,125304,6.49996626657194e-05,47.8,0.530943523841731,0.883748517200475
"SALOSHEMD1",1.13585879134987,0.352611471505323,0.618146544482642,2.08727032429442,-76.9210627714955,38.9272682853083,24033804200,44.62693072,19.82525979,1e+05,0.00121031174189908,43.8,0.476020610384463,0.928249097472924
"SCHLROBMD1",0.956987268721276,0.337667260017926,0.48317512746056,1.92873863752972,-76.8180577266688,39.3349910870118,24005402202,60.11733485,0,112813,7.54482264288014e-05,45.1,0.677873338545739,0.932139491046183
"SILLSCOMD1",1.24133797885134,0.405545828775874,0.654679241476135,2.35616216733898,-76.9916708940604,38.986237126623,24031701703,18.83333056,36.37380132,82986,0.00337644811805869,34.9,0.502449265220434,0.838371624345022
"STANJEFMD1",0.990257128268461,0.335990699494471,0.510874417944035,1.93203108359951,-77.0684569247117,38.9771970222736,24031705200,63.17800932,3.963088948,240568,0.0018166108287384,44.3,0.710852713178295,0.991035410129987
"STEWBETMD1",1.05125621707687,0.336279480318717,0.561732988804368,1.96834481243929,-76.9858815872099,39.0830059795057,24031701415,43.13767455,10.65494417,97955,0.00106238531387353,44.1,0.531874704863844,0.864243614931238
"STUECHRVA2",1.1456489752354,0.355834977439961,0.623283930697871,2.10594495758615,-77.1659731557755,38.9177084431297,51059470700,34.6713384,20.95810204,163466,0.00157955072378179,42.7,0.636871508379888,0.994577006507592
"STURCARMD1",1.23309201990137,0.39852516166083,0.65468621893861,2.32399953016277,-76.8734802465547,39.0030714340265,24033806708,52.33907446,34.19656587,49804,0.00177545572009475,37.9,0.316078431372549,0.958702967268278
"TATEJUAMD1",1.09446447781496,0.341993647266005,0.593240473934898,2.01925217983304,-76.5658336701947,38.9653292292578,24003702402,41.28186902,15.26069222,97481,0.000494249450739073,49,0.573143285821455,0.947294869235376
"VERSBETMD1",0.976301438900817,0.336656711171666,0.499085246212224,1.92927258329766,-76.5975293813626,38.7227781827962,24003708001,7.6317253,2.339798149,93438,8.73524339187549e-05,46.3,0.580520732883317,0.923432089265102
"VONGJENMD1",1.11480410236957,0.346589870323349,0.606133197749769,2.05041169800169,-77.1313422998469,39.0098526330768,24031704502,39.74295739,17.46857133,184500,0.00124994246183618,44.3,0.71105527638191,0.992671927846674
"WILLTERMD1",1.24170057487796,0.405900364275079,0.654635167822884,2.35776032398084,-76.9176544071728,38.930063504868,24033804200,27.76305275,36.48290231,1e+05,0.00121031174189908,43.8,0.476020610384463,0.928249097472924
"ZAMBTRAMD1",1.11441379883175,0.34649023391071,0.605897815801147,2.0497719634451,-77.0750031602788,38.9827751648912,24031705100,38.9206214,17.42568587,173092,0.00151775726292608,45.7,0.625303545410393,0.974764281752635
