"bandNumber","site","date"
"2301-55935","STANJEFMD1","2009-05-07"
"2301-55939","FARYSIMMD1","2009-05-20"
"2301-55974","BURDROBVA1","2009-05-25"
"2301-56048","MORRCHRVA1","2009-07-05"
"2301-56539","BUISNORVA1","2009-06-07"
"2301-56546","BRIGKIMMD1","2010-07-21"
"2301-56611","CAMPGLOMD1","2012-06-06"
"2301-56637","STEWBETMD1","2010-06-05"
"2301-56837","CAMPROSMD1","2010-07-27"
"2331-41350","BROWANNDC1","2010-05-19"
"2341-29316","MCDOELIVA1","2010-07-17"
"2341-29353","FISHFERVA1","2012-05-26"
"2341-29391","CAMPROSMD1","2013-07-19"
"2341-29391","CAMPROSMD1","2014-06-09"
"2341-29603","REITBOBMD1","2009-07-28"
"2341-29603","REITBOBMD1","2010-07-06"
"2341-30016","SILLSCOMD1","2009-07-14"
"2341-30017","SILLSCOMD1","2009-07-17"
"2341-30019","GERYERIMD1","2010-07-14"
"2341-30301","FARYSIMMD1","2010-05-15"
"2341-30319","BROWANNMD1","2009-07-24"
"2341-30392","STUECHRVA2","2015-06-21"
"2350-07610","SCHLROBMD1","2008-06-19"
"2350-07610","SCHLROBMD1","2009-05-15"
"2400-00666","TATEJUAMD1","2007-06-27"
"2400-00681","MANNJANDC1","2008-06-10"
"2400-00682","STANJEFMD1","2008-06-11"
"2400-00692","STURCARMD1","2008-07-02"
"2411-37204","SCHLROBMD1","2010-07-12"
"2411-37221","MOSMCARMD1","2010-07-24"
"2411-37228","BURDROBVA1","2010-06-16"
"2411-37351","LANDCELVA1","2012-05-04"
"2411-37370","ONTAHOUDC1","2010-07-20"
"2411-37417","OBRICHRMD1","2010-07-01"
"2411-37712","FISHFERVA1","2012-05-26"
"2411-37739","MANNJANDC1","2010-07-01"
"2411-37793","BUISNORVA1","2012-05-26"
"2421-11431","NEWBCARVA1","2015-06-22"
"2421-11538","MANNJANDC1","2016-06-21"
"2421-11764","BARBJERMD1","2012-06-04"
"2421-11764","BARBJERMD1","2013-07-11"
"2421-34617","OBRICHRMD1","2013-07-08"
"2421-34617","OBRICHRMD1","2014-08-06"
"2441-13850","STANJEFMD1","2016-07-02"
"2441-13855","WILLTERMD1","2015-06-23"
"2441-13855","WILLTERMD1","2016-06-07"
"2441-13858","ONTAHOUDC1","2016-07-12"
"2441-13876","LANDCELVA1","2015-06-20"
"2441-14045","MORRCHRVA1","2010-06-30"
"2441-14108","GECACARVA1","2013-07-10"
"2441-14128","ONTAHOUDC1","2010-07-20"
"2441-14198","GERYERIMD1","2016-06-28"
"2441-14203","VONGJENMD1","2010-05-10"
"2441-14225","ROHRSALMD1","2010-06-04"
"2441-15012","FISHFERVA1","2010-07-03"
"2441-15024","MANNJANDC1","2009-03-15"
"2441-15024","MANNJANDC1","2010-07-01"
"2441-96360","KEYESUSMD1","2014-07-26"
"2441-96371","TATEJUAMD1","2016-05-17"
"2441-96371","TATEJUAMD1","2015-06-17"
"2441-96454","NEWBCARVA1","2013-08-01"
"2441-965211","ZAMBTRAMD1","2016-04-14"
"2441-96553","BEALTOMMD1","2014-06-17"
"2441-96563","STANJEFMD1","2014-06-16"
"2460-22854","ZAMBTRAMD1","2008-07-18"
"2460-22904","MOLIKARMD1","2008-03-15"
"2460-22920","BARBJERMD1","2009-07-13"
"2460-22920","BARBJERMD1","2010-07-02"
"2460-22953","BEALTOMMD1","2010-07-13"
