"bandNumber","site","date","age","sex","mass","wing","species"
"2750-64403","BEALTOMMD1","2015-05-13","AHY","M",12,54,"CACH"
"2750-64412","BURDROBVA1","2015-06-01","AHY","U",10.3,64.5,"CACH"
"2750-64413","BURDROBVA1","2015-06-01","AHY","M",11.5,52,"HOWR"
"2750-64414","BURDROBVA1","2015-06-01","AHY","M",10.3,51,"HOWR"
"2750-64415","BURDROBVA1","2015-06-01","AHY","M",9.6,60,"CACH"
"2750-64416","BURDROBVA1","2015-06-01","AHY","F",10.7,46.5,"HOWR"
"2750-64417","COLSKATMD1","2015-06-06","AHY","F",9.6,60,"CACH"
"2750-64418","COLSKATMD1","2015-06-06","HY","U",9.4,61,"CACH"
"2750-64424","GECACARVA1","2015-06-10","AHY","M",9.8,50.5,"HOWR"
"2750-64425","GECACARVA1","2015-06-10","HY","U",9.2,62.5,"CACH"
"2750-64426","GECACARVA1","2015-06-10","AHY","M",10.1,62,"CACH"
"2750-64427","GECACARVA1","2015-06-10","HY","U",9.7,62,"CACH"
"2750-64428","GECACARVA1","2015-06-10","HY","U",9.8,61,"CACH"
"2750-64429","GECACARVA1","2015-06-10","HY","U",9.8,63,"CACH"
"2750-64430","GECACARVA1","2015-06-10","AHY","M",11,66,"CACH"
"2750-64431","GECACARVA1","2015-06-10","HY","U",9.9,62,"CACH"
"2750-64432","GECACARVA1","2015-06-10","AHY","F",9.6,59,"CACH"
"2750-64433","GECACARVA1","2015-06-10","HY","U",8.6,23,"HOWR"
"2750-64434","GECACARVA1","2015-06-10","HY","U",8.2,21.5,"HOWR"
"2750-64435","GECACARVA1","2015-06-10","HY","U",8.6,21.5,"HOWR"
"2750-64479","FISHFERVA1","2015-05-27","SY","M",10,62.5,"CACH"
"2750-64480","FISHFERVA1","2015-05-27","SY","M",10.1,65,"CACH"
"2750-64481","FISHFERVA1","2015-05-27","HY","U",9.1,55,"CACH"
"2750-64482","FISHFERVA1","2015-05-27","U","U",10.4,60,"CACH"
"3500-68702","STANJEFMD1","2003-06-06","AHY","M",11.6,52,"HOWR"
"3500-74585","MANNJANDC1","2004-07-02","AHY","M",10.8,50.5,"HOWR"
"4501-87419","BRIGKIMMD1","2003-06-26","AHY","M",21.3,66,"SOSP"
"4501-87438","MOLIKARMD1","2004-06-10","AHY","M",20.8,62,"SOSP"
"4501-87443","TATEJUAMD1","2004-05-27","AHY","M",19.5,62.5,"SOSP"
"4501-87449","SALOSHEMD1","2006-07-13","AHY","M",21.5,62,"CARW"
"4501-87455","MANNJANDC1","2004-07-02","AHY","M",21.8,61,"CARW"
"4501-87456","WOLFKARDC1","2004-07-29","AHY","M",22.7,65,"SOSP"
"4501-87492","VERSBETMD1","2004-07-08","AHY","U",19.1,59,"CARW"
"719-17740","TATEJUAMD1","2000-06-01","U","M",40.4,94,"NOCA"
"742-29175","STURCARMD1","2008-07-02",NA,NA,NA,NA,"AMRO"
"742-29176","STURCARMD1","2008-07-02",NA,NA,NA,NA,"AMRO"
"742-29421","FARYSIMMD1","2007-05-25","AHY","M",70.2,129,"AMRO"
"742-29423","TATEJUAMD1","2007-06-27","AHY","F",77.4,122,"AMRO"
"742-29425","GECACARVA1","2007-07-13","HY","U",NA,NA,"AMRO"
"742-29428","BARBJERMD1","2008-06-02","AHY","F",76.1,115,"AMRO"
"742-29432","CAMPGLOMD1","2008-06-09","AHY","M",71,130,"AMRO"
"742-29433","VERSBETMD1","2008-06-11","AHY","M",73.5,122,"AMRO"
"742-29437","LANDCELVA1","2008-07-01","AHY","F",75.8,130,"AMRO"
"742-29438","LANDCELVA1","2008-07-01","AHY","M",71.4,130,"AMRO"
"742-29443","OLONMARDC1","2008-07-21","AHY","M",75,137,"AMRO"
"742-29444","REITBOBMD1","2008-07-22","HY","U",63.9,120,"AMRO"
"742-29445","REITBOBMD1","2008-07-22","HY","U",70.9,122,"AMRO"
"742-29446","REITBOBMD1","2008-07-22","AHY","F",78.8,120,"AMRO"
"742-29447","REITBOBMD1","2008-07-22","HY","U",61.8,123,"AMRO"
"742-29452","OLONMARDC1","2010-05-21","AHY","F",78.8,121.5,"AMRO"
"742-29456","BALASUCMD1","2010-05-28","AHY","M",74.4,126,"AMRO"
"742-29457","BALASUCMD1","2010-05-28","AHY","M",68.4,128.5,"AMRO"
"742-29458","BALASUCMD1","2010-05-28","HY","U",63.3,109,"AMRO"
"742-29459","BALASUCMD1","2010-05-28","AHY","F",74.6,129,"AMRO"
"742-29460","BALASUCMD1","2010-05-28","AHY","M",71.8,130,"AMRO"
"742-29467","MISSEDDC1","2010-06-07","AHY","M",74.4,129,"AMRO"
"742-29471","PHARAIMMD1","2010-06-16","AHY","F",74.5,121,"AMRO"
"742-29475","STANJEFMD1","2010-06-30","HY","U",71.5,125,"AMRO"
"742-29476","STANJEFMD1","2010-06-30","HY","U",66,123,"AMRO"
"742-29477","STANJEFMD1","2010-06-30","HY","U",66.5,127,"AMRO"
"742-29479","CAMPROSMD1","2010-07-27","AHY","F",76.3,115,"AMRO"
"742-29480","CAMPROSMD1","2010-07-27","HY","U",78,125,"AMRO"
"742-29481","CAMPROSMD1","2010-07-27","HY","U",72.2,130.5,"AMRO"
"742-29482","CAMPROSMD1","2010-07-27","HY","U",81.1,129,"AMRO"
"742-29489","BLOCDAVMD1","2013-06-08","AHY","F",81.9,126,"AMRO"
"742-29490","BLOCDAVMD1","2013-06-08","AHY","M",73.7,128,"AMRO"
"742-29601","ROHRSALMD1","2005-06-01","HY","U",45.4,105,"AMRO"
"742-29704","BARBJERMD1","2003-06-27","AHY","M",73.8,134,"AMRO"
"742-29758","COLSKATMD1","2004-06-01","AHY","F",88.3,123.5,"AMRO"
"742-29796","CAMPGLOMD1","2004-06-08","AHY","F",77.7,125,"AMRO"
"742-29799","TATEJUAMD1","2004-05-27","AHY","M",71.4,127,"AMRO"
"791-17032","ROHRSALMD1","2001-05-08","ASY","M",37.4,93.5,"GRCA"
"791-17033","ROHRSALMD1","2001-05-08","ASY","M",37.2,91,"GRCA"
"791-17043","SCHLROBMD1","2001-05-15","AHY","M",41.9,94.5,"NOCA"
"791-17044","SCHLROBMD1","2001-05-15","AHY","F",42.1,92,"NOCA"
"791-17045","SCHLROBMD1","2001-05-15","AHY","M",35,90,"GRCA"
"791-17046","ROHRSALMD1","2001-05-15","AHY","F",47.8,93,"NOCA"
