"bandNumber","site","date","age","sex","mass","wing","species"
"1721-48502","STURCARMD1","2001-06-13","HY","U",19.2,58,"CARW"
"1721-48506","COLSKATMD1","2001-06-20","AHY","M",22.1,59,"CARW"
"1721-48507","COLSKATMD1","2001-06-20","AHY","M",21,66,"SOSP"
"1721-48508","SALOSHEMD1","2001-06-25","AHY","M",20.5,60,"CARW"
"1721-48518","REITBOBMD1","2001-07-02","SY","M",22.8,68.5,"SOSP"
"1721-48519","BROWANNDC1","2002-04-09","U","M",20.9,66,"SOSP"
"1721-48525","SALOSHEMD1","2002-05-22","AHY","U",20.8,60,"CARW"
"1721-48527","MANNJANDC1","2002-05-30","AHY","F",19.8,56,"CARW"
"1721-48529","STANJEFMD1","2002-06-21","AHY","M",21.1,69,"SOSP"
"1721-48566","PERRCHRMD1","2002-05-31","AHY","M",23,60,"CARW"
"1721-48588","MOLIKARMD1","2002-06-17","AHY","M",20.1,67,"SOSP"
"1721-48956","BLOCDAVMD1","2002-06-23","AHY","M",20.5,67,"SOSP"
"1721-48957","BLOCDAVMD1","2002-06-23","U","U",17.9,56,"CARW"
"1751-09312","VERSBETMD1","2004-07-08","AHY","M",46.3,94.5,"NOCA"
"1751-09313","VERSBETMD1","2004-07-08","AHY","M",41.6,94,"NOCA"
"1751-51904","BROWANNMD1","2001-06-26","AHY","M",45.2,95,"NOCA"
"1751-51905","BROWANNDC1","2001-06-26","AHY","F",41.4,91,"NOCA"
"1751-51908","COLSKATMD1","2001-06-20","AHY","M",33.7,87,"GRCA"
"1751-51909","COLSKATMD1","2001-06-20","AHY","M",41.2,95,"NOCA"
"1751-51920","STURCARMD1","2001-06-13","AHY","M",35.5,92,"GRCA"
"1751-51924","BEALTOMMD1","2001-06-12","AHY","M",48.3,97,"NOCA"
"1751-51925","BEALTOMMD1","2001-06-12","AHY","M",36.7,90,"GRCA"
"1751-51930","BARBJERMD1","2001-06-08","AHY","M",45.3,98.5,"NOCA"
"1751-51931","BARBJERMD1","2001-06-08","AHY","M",37.9,87,"GRCA"
"1751-51939","CAMPGLOMD1","2001-05-31","ASY","M",35.5,95,"GRCA"
"1751-51940","CAMPGLOMD1","2001-05-31","AHY","F",39.5,92,"NOCA"
"1751-51942","CAMPROSMD1","2001-05-23","SY","M",36.1,91,"GRCA"
"1751-51947","TATEJUAMD1","2001-05-16","AHY","M",33.9,89,"GRCA"
"1751-51948","TATEJUAMD1","2001-05-16","AHY","M",39,89.5,"NOCA"
"1751-51949","ONTAHOUDC1","2001-05-15","AHY","M",39.5,93,"NOCA"
"1751-51950","ONTAHOUDC1","2001-05-15","AHY","F",45.6,89,"GRCA"
"1751-51951","ONTAHOUDC1","2001-05-15","ASY","M",34.7,94.5,"GRCA"
"1751-51952","ONTAHOUDC1","2001-05-15","AHY","M",38,90,"NOCA"
"1751-51953","ONTAHOUDC1","2001-05-15","AHY","M",34.3,94,"GRCA"
"1751-51957","CAMPGLOMD1","2001-05-11","AHY","M",38.1,90.5,"GRCA"
"1751-51969","MOLIKARMD1","2001-05-07","AHY","M",40.4,95,"NOCA"
"1751-51970","MOLIKARMD1","2001-05-07","AHY","M",35.6,89,"GRCA"
"1751-51974","MOSMCARMD1","2001-05-03","AHY","F",39.8,105,"NOMO"
"1751-51976","MOSMCARMD1","2001-05-03","AHY","F",45.8,92,"NOCA"
"1751-51979","ONTAHOUDC1","2001-05-02","AHY","F",44,93,"NOCA"
"1801-09417","MOSMCARMD1","2002-06-08","SY","F",41.4,89,"NOCA"
"1801-09425","MOLIKARMD1","2002-06-17","AHY","F",39.6,85.5,"GRCA"
"1801-09426","MOLIKARMD1","2002-06-17","AHY","M",43.3,96,"NOCA"
"1801-09452","FARYSIMMD1","2002-07-15","AHY","M",42,91.5,"NOCA"
"1801-09454","TATEJUAMD1","2002-07-18","AHY","F",NA,NA,"NOCA"
"1801-09455","TATEJUAMD1","2002-07-18","AHY","M",42.8,92,"NOCA"
"1801-09458","TATEJUAMD1","2002-07-18","AHY","M",30,85,"GRCA"
"1801-09459","SCHLROBMD1","2002-07-22","AHY","M",NA,NA,"GRCA"
"1801-09460","SCHLROBMD1","2002-07-22","AHY","M",34.7,91,"GRCA"
"1801-09461","SCHLROBMD1","2002-07-22","AHY","M",40.3,92,"NOCA"
"1801-09462","SCHLROBMD1","2002-07-22","HY","U",41,89,"NOCA"
"1801-09463","SCHLROBMD1","2002-07-22","AHY","U",31,84.5,"GRCA"
"1801-09469","BARBJERMD1","2002-08-01","AHY","F",40,89.5,"NOCA"
"1801-09470","BARBJERMD1","2002-08-01","HY","U",39.3,88,"NOCA"
"1801-09471","BARBJERMD1","2002-08-01","HY","U",39.7,87,"NOCA"
"1801-09472","BARBJERMD1","2002-08-01","AHY","M",39.4,93,"NOCA"
"1801-09473","BARBJERMD1","2002-08-01","AHY","F",43.9,92,"NOCA"
"1801-09474","BARBJERMD1","2002-08-01","HY","U",39.4,90,"NOCA"
"1801-09475","BARBJERMD1","2002-08-01","HY","U",NA,NA,"NOCA"
"1801-09476","BARBJERMD1","2002-08-01","HY","U",45.6,88,"NOCA"
"1801-09477","BARBJERMD1","2002-08-01","HY","U",33.1,84,"NOCA"
"1801-09478","BARBJERMD1","2002-08-01","AHY","M",41.5,93.5,"NOCA"
"1801-09479","BARBJERMD1","2002-08-01","HY","M",38.5,88.5,"NOCA"
"1801-09480","BARBJERMD1","2002-08-01","HY","U",39.6,88.5,"NOCA"
"1801-09562","ROHRSALMD1","2003-05-07","AHY","U",NA,NA,"GRCA"
"1801-09563","STURCARMD1","2003-05-08","AHY","M",40.4,94,"NOCA"
"1801-09568","BRIGKIMMD1","2003-05-10","AHY","M",43.3,96,"NOCA"
"1801-09574","OBRICHRMD1","2003-05-19","AHY","M",35.3,93,"GRCA"
"1801-09576","ONTAHOUDC1","2003-05-20","AHY","M",33.8,90.5,"GRCA"
"1801-09596","ONTAHOUDC1","2003-06-09","AHY","M",30.5,91.5,"GRCA"
"1801-09599","ONTAHOUDC1","2003-06-10","AHY","F",34.8,88,"GRCA"
"1801-09696","SCHLROBMD1","2002-09-17","HY","U",31.6,85,"NOCA"
"1801-09697","SCHLROBMD1","2002-09-17","HY","M",43.5,89,"NOCA"
"1801-09698","SCHLROBMD1","2002-09-17","AHY","U",37.8,92,"GRCA"
"1801-09699","BARBJERMD1","2002-09-18","HY","U",41.3,86.5,"NOCA"
"1801-09700","BARBJERMD1","2002-09-18","HY","M",41,87,"NOCA"
"1801-77752","MISSEDDC1","2003-05-26","AHY","M",42.1,93,"NOCA"
"1801-77753","MISSEDDC1","2003-05-26","AHY","M",54.4,93,"NOCA"
"1801-77756","SCHLROBMD1","2003-06-18","AHY","M",33.8,87,"GRCA"
"1801-77757","SCHLROBMD1","2003-06-18","AHY","F",42.7,87.5,"GRCA"
"1801-77758","REITBOBMD1","2003-06-23","AHY","M",34.8,89,"GRCA"
"1801-77762","BROWANNDC1","2003-06-26","AHY","F",31.8,89,"GRCA"
"1801-77763","BROWANNDC1","2003-06-26","AHY","M",35.8,88,"GRCA"
"1801-77808","SCHLROBMD1","2003-05-27","AHY","F",42.2,92,"NOCA"
"1801-77809","SCHLROBMD1","2003-05-27","AHY","F",41.2,91,"NOCA"
"1801-77817","CAMPGLOMD1","2003-06-09","AHY","M",35.2,96,"GRCA"
"1801-77818","CAMPGLOMD1","2003-06-09","AHY","F",32.7,90,"GRCA"
"1801-77833","BRIGKIMMD1","2003-06-26","AHY","F",42.1,94,"NOCA"
"1801-77834","COLSKATMD1","2003-06-27","AHY","M",37.2,95,"GRCA"
"1801-77835","COLSKATMD1","2003-06-27","AHY","M",32.7,92,"GRCA"
"1801-77836","CAMPROSMD1","2003-06-28","AHY","F",37.2,85,"GRCA"
"1801-77837","CAMPROSMD1","2003-06-28","AHY","M",42,92,"NOCA"
"1801-77841","BARBJERMD1","2003-07-10","HY","U",44.7,87,"NOCA"
"1801-77842","BARBJERMD1","2003-07-10","HY","U",NA,NA,"NOCA"
"1801-77846","ROHRSALMD1","2004-05-17","AHY","M",41.3,94,"NOCA"
"1801-77847","SCHLROBMD1","2004-05-19","AHY","M",45.5,95,"NOCA"
"1801-77848","BROWANNDC1","2004-05-20","AHY","M",38.8,92,"GRCA"
"1801-77852","SCHLROBMD1","2004-05-24","AHY","F",39,78,"GRCA"
"1801-77853","MISSEDDC1","2004-05-25","AHY","M",35.6,88,"GRCA"
"1801-77862","ROHRSALMD1","2004-05-31","AHY","M",33.9,93,"GRCA"
"1801-77863","ROHRSALMD1","2004-05-31","AHY","M",34.9,88.5,"GRCA"
"1801-77870","REITBOBMD1","2004-06-04","AHY","M",35,90.5,"GRCA"
"1801-77871","REITBOBMD1","2004-06-04","AHY","F",41.8,86,"NOCA"
"1801-77872","REITBOBMD1","2004-06-04","AHY","M",43.2,97,"NOCA"
"1801-77874","ROHRSALMD1","2004-06-22","AHY","U",NA,NA,"NOCA"
"1801-77880","SCHLROBMD1","2004-07-01","AHY","F",41,92,"NOCA"
"1801-77904","MANNJANDC1","2003-05-28","ASY","M",39.8,92.5,"GRCA"
"1801-77906","MANNJANDC1","2003-05-30","AHY","F",44.9,85.5,"GRCA"
"1801-77907","STANJEFMD1","2003-06-06","ASY","F",40.6,89,"GRCA"
"1801-77908","STANJEFMD1","2003-06-06","ASY","M",35.1,89,"GRCA"
"1801-77957","ONTAHOUDC1","2003-06-13","AHY","M",33.1,96,"GRCA"
"1801-77962","SCHLROBMD1","2003-06-15","AHY","M",33.8,93.5,"GRCA"
"1801-77963","BRIGKIMMD1","2003-06-15","AHY","M",35.2,91,"GRCA"
"1801-77964","SCHLROBMD1","2003-06-17","AHY","F",32.9,89,"GRCA"
"1801-77965","SCHLROBMD1","2003-06-17","AHY","F",34.9,91,"GRCA"
"1801-77970","ONTAHOUDC1","2003-06-20","AHY","F",36.5,88,"GRCA"
"1811-52933","SILLSCOMD1","2010-06-24","AHY","M",20.9,68,"SOSP"
"1811-58506","CAMPROSMD1","2002-07-07","HY","U",19.1,58.5,"CARW"
"1811-58519","STURCARMD1","2002-07-19","AHY","M",NA,NA,"CARW"
"1811-58520","SCHLROBMD1","2002-07-22","HY","U",NA,NA,"CARW"
"1811-58522","SCHLROBMD1","2002-07-22","AHY","F",19.9,49.5,"CARW"
"1811-58523","SCHLROBMD1","2002-07-22","HY","U",18.8,57,"CARW"
"1811-58562","SCHLROBMD1","2002-09-17","HY","U",16.2,59,"CARW"
"1811-58572","SCHLROBMD1","2002-09-17","AHY","U",18.6,59,"CARW"
"1811-58687","MOLIKARMD1","2003-05-09","AHY","M",21.8,65.5,"SOSP"
"1811-58703","OBRICHRMD1","2002-06-29","AHY","F",18.7,57,"CARW"
"1811-58728","BARBJERMD1","2002-08-01","AHY","M",19.7,61.5,"CARW"
"1811-58750","BLOCDAVMD1","2002-08-06","HY","U",NA,NA,"CARW"
"1811-58816","REITBOBMD1","2003-05-17","AHY","M",23.8,63.5,"SOSP"
"1811-58817","BROWANNDC1","2003-05-20","AHY","M",19.5,65,"SOSP"
"1811-58827","STURCARMD1","2003-07-28","AHY","F",20.7,62,"CARW"
"1811-58828","STURCARMD1","2003-05-28","AHY","F",17.8,56.5,"CARW"
"1811-58832","BROWANNDC1","2003-08-26","HY","U",22.2,62,"SOSP"
"1811-78714","TATEJUAMD1","2002-07-18","AHY","F",19.4,58,"CARW"
"1821-63311","CAMPGLOMD1","2003-06-09","AHY","F",11.6,50,"HOWR"
"1821-63312","CAMPGLOMD1","2003-06-09","AHY","F",10.1,49,"HOWR"
"1821-63313","CAMPGLOMD1","2003-06-09","AHY","U",11.2,49,"HOWR"
"1821-63335","COLSKATMD1","2003-06-27","AHY","M",10.7,48,"HOWR"
"1821-63336","CAMPROSMD1","2003-06-28","AHY","M",10,50,"HOWR"
"1841-58824","STURCARMD1","2003-05-28","AHY","F",37,90,"GRCA"
"1841-58833","BARBJERMD1","2004-04-30","AHY","M",40.2,92.5,"NOCA"
"1841-58834","BARBJERMD1","2004-04-30","AHY","M",44.1,95,"NOCA"
"1841-58840","STANJEFMD1","2004-05-20","AHY","M",35,90.5,"GRCA"
"1841-58841","STANJEFMD1","2004-05-20","AHY","U",33.8,86,"GRCA"
"1841-58844","TATEJUAMD1","2004-05-27","AHY","M",35.6,90.5,"GRCA"
"1841-58845","TATEJUAMD1","2004-05-27","AHY","M",43.4,95,"NOCA"
"1841-58846","TATEJUAMD1","2004-05-27","AHY","M",33.6,90,"GRCA"
"1841-58855","MOLIKARMD1","2004-06-10","AHY","F",42.2,88,"GRCA"
"1841-58876","SALOSHEMD1","2004-06-24","AHY","F",38.3,88,"NOCA"
"1851-95463","REITBOBMD1","2005-05-05","AHY","M",21.9,69,"SOSP"
"1851-95464","REITBOBMD1","2005-05-05","AHY","M",21.4,71,"SOSP"
"1851-95465","MANNJANDC1","2005-05-06","AHY","M",21,70,"SOSP"
"1870-35909","SCHLROBMD1","2003-05-27","AHY","M",9.6,62,"CACH"
"1870-35910","SCHLROBMD1","2003-05-27","AHY","M",NA,NA,"HOWR"
"1870-35911","SCHLROBMD1","2003-05-27","AHY","U",11,62,"CACH"
"1870-35912","SCHLROBMD1","2003-05-27","AHY","U",10,75,"CACH"
"1870-35913","SCHLROBMD1","2003-05-27","AHY","U",9.2,63,"CACH"
"1891-87362","CAMPROSMD1","2004-05-21","AHY","M",40.4,93,"NOCA"
"1891-87378","COLSKATMD1","2004-06-01","AHY","M",42.6,94,"NOCA"
"1891-87379","BLOCDAVMD1","2004-06-02","AHY","M",35.4,87.5,"GRCA"
"1891-87380","BLOCDAVMD1","2004-06-02","AHY","M",35,87,"GRCA"
"1891-87389","MOSMCARMD1","2004-06-10","AHY","M",42.5,95,"NOCA"
"1891-87390","MOSMCARMD1","2004-06-10","AHY","F",37.7,89,"NOCA"
"1901-20501","MANNJANDC1","2003-05-30","AHY","M",22,71,"SOSP"
"1901-20508","WOLFKARDC1","2003-07-09","AHY","M",21.8,69.5,"SOSP"
"1901-20569","SCHLROBMD1","2004-05-19","AHY","M",21.2,64.5,"SOSP"
"1901-20571","SCHLROBMD1","2004-05-24","AHY","F",21,63,"SOSP"
"1901-20574","REITBOBMD1","2004-06-04","AHY","M",21.3,66,"SOSP"
"1901-20585","ROHRSALMD1","2004-07-02","AHY","M",20.6,75,"SOSP"
"1901-20588","ROHRSALMD1","2004-07-02","AHY","F",19.5,61,"CARW"
"1901-20589","ROHRSALMD1","2004-07-02","AHY","F",19.2,56,"CARW"
"1901-20597","OBRICHRMD1","2004-07-21","AHY","U",21.8,71,"SOSP"
"1901-20656","SCHLROBMD1","2004-07-01","AHY","M",23,65,"SOSP"
"1901-46103","WOLFKARDC1","2006-07-04","ASY","M",38.2,89,"GRCA"
"1920-85879","PERRCHRMD1","2000-04-28","U","M",9.7,61,"CACH"
"1920-85880","PERRCHRMD1","2000-04-28","U","F",10.8,60.5,"CACH"
"1920-85881","PERRCHRMD1","2000-04-28","U","M",10.1,64.5,"CACH"
"1920-85902","TATEJUAMD1","2000-06-01","U","F",12.5,48,"HOWR"
"1920-85905","BARBJERMD1","2000-06-02","U","F",9.1,59.5,"CACH"
"1920-85906","BARBJERMD1","2000-06-03","AHY","M",10.9,61.5,"CACH"
"1920-85907","BARBJERMD1","2000-06-02","U","F",10.1,59,"CACH"
"1920-85916","ROHRSALMD1","2000-06-13","U","F",9.4,65,"CACH"
"1920-85917","MANNJANDC1","2000-06-14","U","F",9.3,62,"CACH"
"1920-85918","MANNJANDC1","2000-06-14",NA,NA,NA,NA,"CACH"
"1920-85919","MANNJANDC1","2000-06-14","U","F",8.8,60,"CACH"
"1920-85941","SALOSHEMD1","2000-06-29","U","F",13.1,49,"HOWR"
"1920-85942","SALOSHEMD1","2000-06-29",NA,NA,NA,NA,"HOWR"
"1950-50460","BEALTOMMD1","2003-07-14","AHY","M",10.4,49.5,"HOWR"
"1950-50461","BEALTOMMD1","2003-07-14","AHY","F",10.7,49,"HOWR"
"1950-50471","BEALTOMMD1","2004-04-27","AHY","U",10.3,48.5,"HOWR"
"1950-50472","BEALTOMMD1","2004-04-27","AHY","M",9.3,61.5,"CACH"
"1950-50496","REITBOBMD1","2004-07-26","AHY","M",9.9,49,"HOWR"
"1951-20901","ONTAHOUDC1","2004-06-09","AHY","U",42.1,86,"NOCA"
"1951-20936","ROHRSALMD1","2004-07-02","AHY","U",42.6,94,"NOCA"
"1951-20953","ONTAHOUDC1","2004-07-16","AHY","U",40.7,88,"NOCA"
"1951-20954","ONTAHOUDC1","2004-07-16","AHY","U",36,93,"GRCA"
"1951-20962","OBRICHRMD1","2004-07-21","HY","U",42.5,85,"NOCA"
"1951-20963","OBRICHRMD1","2004-07-21","AHY","M",46.1,97,"NOCA"
"1951-40939","OBRICHRMD1","2005-05-02","ASY","M",36,94,"GRCA"
"1951-40940","OBRICHRMD1","2005-05-02","ASY","F",37.7,92,"GRCA"
"1951-40949","ROHRSALMD1","2005-06-01","AHY","M",45.1,92,"NOCA"
"1951-40956","TATEJUAMD1","2005-06-08","AHY","M",35.6,92,"GRCA"
"1951-40957","TATEJUAMD1","2005-06-08","AHY","M",41.7,92,"NOCA"
"1951-40958","TATEJUAMD1","2005-06-08","AHY","M",44.5,95,"NOCA"
"1951-40962","BARBJERMD1","2005-06-11","AHY","M",32,84.5,"GRCA"
"1951-40963","BARBJERMD1","2005-06-11","AHY","F",44.2,91,"NOCA"
"1951-40968","BLOCDAVMD1","2005-06-23","AHY","M",32,84,"GRCA"
"1951-40974","ROHRSALMD1","2005-07-01","AHY","M",46.5,95,"NOCA"
"1951-40975","ROHRSALMD1","2005-07-01","AHY","F",40.1,88,"NOCA"
"1951-40976","ROHRSALMD1","2005-07-01","AHY","M",33.4,91,"GRCA"
"1951-40977","ROHRSALMD1","2005-07-01","AHY","F",34.9,85,"GRCA"
"1951-40978","ROHRSALMD1","2005-07-01","AHY","F",42.2,89,"NOCA"
"1951-41056","SCHLROBMD1","2007-05-02","AHY","M",45.4,91,"NOCA"
"1951-41057","SCHLROBMD1","2007-05-02","AHY","M",42,90,"NOCA"
"1951-41058","SCHLROBMD1","2007-05-02","ASY","M",37.5,89,"GRCA"
"1951-41068","MANNJANDC1","2007-05-23","AHY","M",31.3,88,"GRCA"
"1951-41069","STANJEFMD1","2007-05-24","AHY","M",44.1,95,"NOCA"
"1951-41073","STURCARMD1","2007-05-31","AHY","M",35.8,89,"GRCA"
"1951-41074","STURCARMD1","2007-05-31","AHY","M",35.2,86,"GRCA"
"1951-41088","WOLFKARDC1","2007-06-13","AHY","M",36.3,89,"GRCA"
"1951-41089","STEWBETMD1","2007-06-15","AHY","M",35.2,92,"GRCA"
"1951-41090","STEWBETMD1","2007-06-15","AHY","M",34.5,93,"GRCA"
"1951-41101","MANNJANDC1","2005-05-06","AHY","F",42.9,91,"NOCA"
"1951-41105","ONTAHOUDC1","2005-05-11","AHY","M",34.1,90,"GRCA"
"1951-41106","ONTAHOUDC1","2005-05-11","SY","U",34.8,86,"GRCA"
"1951-41109","SALOSHEMD1","2005-06-08","AHY","M",42.2,95,"NOCA"
"1951-41114","REITBOBMD1","2005-06-27","AHY","M",36.8,91,"GRCA"
"1951-41115","REITBOBMD1","2005-06-27","AHY","F",37.7,86.5,"GRCA"
"1951-41118","CAMPROSMD1","2005-07-11","AHY","F",36.6,87,"GRCA"
"1951-41119","CAMPROSMD1","2005-07-11","HY","U",33.3,88,"GRCA"
"1951-41120","CAMPROSMD1","2005-07-11","AHY","M",39.5,95,"NOCA"
"1951-41121","CAMPROSMD1","2005-07-11","AHY","M",39.7,91.5,"GRCA"
"1951-41122","CAMPROSMD1","2005-07-11","HY","U",33.6,85,"GRCA"
"1951-41125","STANJEFMD1","2005-07-18","AHY","U",32.8,95,"GRCA"
"1951-41126","STANJEFMD1","2005-07-18","HY","F",41.7,88,"NOCA"
"1951-41130","TATEJUAMD1","2006-05-27","AHY","F",78.2,120,"AMRO"
"1951-41131","TATEJUAMD1","2006-06-03","AHY","M",41.6,94,"NOCA"
"1951-41132","STANJEFMD1","2006-06-06","AHY","M",NA,NA,"NOCA"
"1951-41133","STANJEFMD1","2006-06-06","AHY","F",NA,NA,"NOCA"
"1951-41260","SCHLROBMD1","2005-05-19","AHY","M",42.7,91.5,"NOCA"
"1951-41261","SCHLROBMD1","2005-05-19","AHY","F",38.4,91,"NOCA"
"1951-41262","SCHLROBMD1","2005-05-19","AHY","M",47.7,91,"NOCA"
"1951-41263","SCHLROBMD1","2005-05-19","AHY","M",43.5,96,"NOCA"
"1951-41264","SCHLROBMD1","2005-05-19","AHY","F",43.3,90.5,"NOCA"
"1951-41270","VERSBETMD1","2005-05-26","AHY","M",43.6,90,"NOCA"
"1951-41284","COLSKATMD1","2005-06-09","AHY","F",40.6,92,"NOCA"
"1951-41285","COLSKATMD1","2005-06-09","AHY","M",35.2,94,"GRCA"
"1951-41286","COLSKATMD1","2005-06-09","AHY","F",34.8,90,"GRCA"
"1961-24093","BRIGKIMMD1","2005-04-22","AHY","M",20.2,66,"SOSP"
"1961-24123","SALOSHEMD1","2004-06-24","AHY","U",20.6,61,"CARW"
"1991-21136","BUISNORVA1","2007-06-30","AHY","F",43.6,90,"NOCA"
"1991-21137","BUISNORVA1","2007-06-30","AHY","M",34.8,92,"GRCA"
"1991-21138","NEWBCARVA1","2007-07-02","AHY","F",41.2,91,"NOCA"
"1991-21142","MCDOELIVA1","2007-07-12","AHY","M",33.8,94,"GRCA"
"1991-21145","PADORAMVA1","2007-07-14","AHY","F",39.8,91,"NOCA"
"1991-21146","PADORAMVA1","2007-07-14","HY","M",34,86,"GRCA"
"1991-21151","BRIGKIMMD1","2007-07-19","HY","U",34.1,87,"GRCA"
"1991-21152","BRIGKIMMD1","2007-07-19","HY","U",41.3,90,"NOCA"
"1991-46104","REITBOBMD1","2006-11-08","AHY","F",41,90,"NOCA"
"1991-46121","CAMPROSMD1","2007-05-23","AHY","M",44.6,91,"NOCA"
"1991-46122","CAMPROSMD1","2007-05-23","AHY","F",38.8,87,"GRCA"
"1991-46123","FARYSIMMD1","2007-05-25","AHY","M",33.6,87,"GRCA"
"1991-46124","BLOCDAVMD1","2007-05-26","HY","M",42.2,95,"NOCA"
"1991-46129","OBRICHRMD1","2007-06-02","AHY","M",32.8,87,"GRCA"
"1991-46136","SALOSHEMD1","2007-06-19","AHY","M",34,86,"GRCA"
"1991-46139","PHARAIMMD1","2007-06-26","AHY","M",38.3,91,"NOCA"
"1991-46140","PHARAIMMD1","2007-06-26","AHY","F",45.2,98,"NOCA"
"1991-46141","TATEJUAMD1","2007-06-27","AHY","M",33.8,88,"GRCA"
"1991-46144","JACOMERMD1","2007-06-30","AHY","M",35.5,90,"GRCA"
"1991-46152","GERYERIMD1","2007-07-07","AHY","M",34.7,90,"GRCA"
"1991-46154","GECACARVA1","2007-07-13","U","U",33.6,88,"GRCA"
"1991-46162","ZAMBTRAMD1","2007-07-23","AHY","M",35.9,89,"NOCA"
"1991-46163","ZAMBTRAMD1","2007-07-23","HY","F",36.2,88,"NOCA"
"1991-46164","ZAMBTRAMD1","2007-07-23","AHY","F",34.1,85,"NOCA"
"1991-46168","JACOMERMD1","2007-07-28","AHY","F",46,86,"NOCA"
"1991-46179","SCHLROBMD1","2008-06-19","AHY","F",47.6,95,"NOCA"
"1991-46180","SCHLROBMD1","2008-06-19","AHY","F",48.2,87,"NOCA"
"1991-46181","SCHLROBMD1","2008-06-19","AHY","M",35.9,90,"GRCA"
"1991-46182","BEALTOMMD1","2008-06-20","AHY","F",39.5,90,"NOCA"
"1991-46183","BEALTOMMD1","2008-06-20","AHY","F",42,90,"NOCA"
"1991-46187","STURCARMD1","2008-07-02","AHY","F",24.9,86,"GRCA"
"1991-46188","STURCARMD1","2008-07-02","AHY","F",33.5,87,"GRCA"
"202-99040","FARYSIMMD1","2008-06-13","AHY","M",47.5,115,"NOMO"
"2241-17612","VERSBETMD1","2005-05-26","AHY","M",20,65,"SOSP"
"2241-17613","TATEJUAMD1","2005-06-08","HY","U",17.4,56,"CARW"
"2241-17615","MOSMCARMD1","2005-06-11","AHY","M",22,59.5,"CARW"
"2241-17619","BEALTOMMD1","2005-06-19","AHY","M",20.4,61,"CARW"
"2241-17620","BLOCDAVMD1","2005-06-23","AHY","M",21.4,66,"SOSP"
"2241-17622","ROHRSALMD1","2005-07-01","AHY","F",NA,NA,"CARW"
"2241-17707","OBRICHRMD1","2005-05-02","AHY","U",19.5,58,"CARW"
"2241-17722","COLSKATMD1","2005-06-09","AHY","M",23.4,60,"CARW"
"2241-17736","MOLIKARMD1","2005-07-20","HY","U",17.9,57.5,"CARW"
"2241-17737","MOLIKARMD1","2005-07-20","AHY","U",18.1,60,"CARW"
"2241-18003","BROWANNDC1","2005-05-19","AHY","F",23,63,"SOSP"
"2241-18004","MISSEDDC1","2005-05-23","SY","M",20.2,60.5,"CARW"
"2241-18014","STANJEFMD1","2005-07-18","AHY","U",20.4,60,"CARW"
"2250-20393","BROWANNDC1","2003-05-20","AHY","M",10,63,"CACH"
"2250-20394","BROWANNDC1","2003-05-20","AHY","F",7.8,58,"CACH"
"2250-20395","BROWANNDC1","2003-05-20","AHY","M",10.9,50,"HOWR"
"2250-24001","PERRCHRMD1","2001-04-17","AHY","U",9.9,65,"CACH"
"2250-24020","MOSMCARMD1","2001-05-03","AHY","M",10.5,64,"CACH"
"2250-24021","MOSMCARMD1","2001-05-03","AHY","M",11,49,"HOWR"
"2250-24026","ONTAHOUDC1","2001-05-15","AHY","M",9.6,60,"CACH"
"2250-24027","REITBOBMD1","2001-05-15","ASY","M",11.4,49,"HOWR"
"2250-24028","TATEJUAMD1","2001-05-16","AHY","M",10.8,52.5,"HOWR"
"2250-24029","TATEJUAMD1","2001-05-16","AHY","M",9.2,61,"CACH"
"2250-24030","TATEJUAMD1","2001-05-16","AHY","F",13,52,"HOWR"
"2250-24043","CAMPGLOMD1","2001-05-31","AHY","M",10.4,65,"CACH"
"2250-24044","CAMPGLOMD1","2001-05-31","AHY","F",9.7,63,"CACH"
"2250-24058","STURCARMD1","2001-06-13","AHY","M",10.8,52,"HOWR"
"2250-24059","STURCARMD1","2001-06-13","AHY","F",9.6,59,"CACH"
"2250-24060","STURCARMD1","2001-06-13","HY","U",9.6,62,"CACH"
"2250-24061","STURCARMD1","2001-06-13","HY","U",9.8,59,"CACH"
"2250-24062","STURCARMD1","2001-06-13","HY","U",10.3,65,"CACH"
"2250-24072","COLSKATMD1","2001-06-20","AHY","M",10.6,47,"HOWR"
"2250-24073","SALOSHEMD1","2001-06-25","AHY","M",10.5,50,"HOWR"
"2250-24169","BRIGKIMMD1","2003-06-15","AHY","F",11.1,48.5,"HOWR"
"2250-24183","SALOSHEMD1","2003-07-08","AHY","M",9.5,49,"HOWR"
"2250-24225","SCHLROBMD1","2001-05-15","AHY","M",10.6,54,"HOWR"
"2250-24226","SCHLROBMD1","2001-05-15","AHY","F",9.8,62,"CACH"
"2250-24227","SCHLROBMD1","2001-05-15","AHY","U",11.1,51,"HOWR"
"2250-24233","FARYSIMMD1","2001-05-23","AHY","M",11.5,50.5,"HOWR"
"2250-24240","OBRICHRMD1","2001-05-31","AHY","M",10,60,"CACH"
"2250-24244","BLOCDAVMD1","2001-06-02","AHY","M",11,49.5,"HOWR"
"2250-24245","BLOCDAVMD1","2001-06-02","AHY","U",NA,NA,"CACH"
"2250-24246","BLOCDAVMD1","2001-06-02","AHY","F",10.3,60,"CACH"
"2250-24329","SALOSHEMD1","2002-05-22","AHY","F",11.4,49,"HOWR"
"2250-24330","SALOSHEMD1","2002-05-22","AHY","M",11.5,51,"HOWR"
"2250-24332","MANNJANDC1","2002-05-30","AHY","M",10.1,51,"HOWR"
