"site","date","birdID"
"NEWBCARVA1","2013-07-31","1991-21138"
"MCDOELIVA1","2013-06-16","1232-88302"
"REITBOBMD1","2013-04-15","2301-56925"
"CAMPGLOMD1","2013-07-01","2301-56611"
"GECACARVA1","2013-03-15","2301-56567"
"STEWBETMD1","2013-06-22","2540-62837"
"STANJEFMD1","2013-07-23","2441-15007"
"CAMPGLOMD1","2013-04-14","2540-62888"
"FISHFERVA1","2013-05-20","2411-37712"
"MANNJANDC1","2013-03-15","2411-37740"
"TATEJUAMD1","2013-03-15","2411-37760"
"NEWBCARVA1","2013-07-31","2421-11431"
"STEWBETMD1","2013-06-22","2441-96451"
"FISHFERVA1","2013-05-20","2590-83047"
"PERRCHRMD1","2013-07-26","2421-34612"
"VERSBETMD1","2013-04-24","2570-44717"
"FARYSIMMD1","2013-06-29","2441-96470"
"VONGJENMD1","2013-03-15","2421-34632"
"REITBOBMD1","2013-05-12","2341-30379"
"REITBOBMD1","2014-03-21","1811-58816"
"VERSBETMD1","2014-03-31","2540-62817"
"REITBOBMD1","2014-04-28","2341-29605"
"MOSMCARMD1","2014-06-19","2411-37220"
"BURDROBVA1","2014-04-21","2590-82527"
"VERSBETMD1","2014-06-21","2441-14041"
"VONGJENMD1","2014-06-14","2411-37407"
"SALOSHEMD1","2014-07-01","2421-11622"
"BROWANNMD1","2014-07-22","2421-11751"
"PADORAMVA1","2014-07-12","2590-83010"
"COLSKATMD1","2014-06-12","2590-83036"
"BUISNORVA1","2014-04-27","2510-04393"
"ONTAHOUDC1","2014-06-26","2561-44929"
"WOLFKARDC1","2014-04-17","2570-44760"
"REITBOBMD1","2014-03-21","2441-96522"
"ZAMBTRAMD1","2014-04-16","2441-96541"
"ROHRSALMD1","2014-05-18","2710-25971"
"BROWANNMD1","2014-07-22","2641-63659"
"GECACARVA1","2014-04-24","2710-53702"
"BUISNORVA1","2014-03-15","2531-74567"
"BURDROBVA1","2014-04-21","2641-63315"
"STUECHRVA2","2014-07-19","2531-90238"
"BURDROBVA1","2014-06-26","2660-75714"
"GECACARVA1","2014-04-24","2690-18954"
"MORRCHRVA1","2014-04-18","2710-25949"
"MORRCHRVA1","2014-04-18","2710-25950"
"MOSMCARMD1","2015-06-13","2411-37220"
"MORRCHRVA1","2015-04-23","2590-82570"
"FISHFERVA1","2015-07-08","791-17264"
"VERSBETMD1","2015-05-12","2570-44717"
"FARYSIMMD1","2015-06-26","2441-96471"
"VONGJENMD1","2015-07-08","2590-83072"
"BRIGKIMMD1","2015-05-18","2590-82011"
"WOLFKARDC1","2015-04-19","2570-44760"
