"site","abunds","SE","lon","lat","fips","can","imp","medianIncome","hDensity","age","marred","eduHS"
"KEYESUSMD1",0.372716262445343,0.143942525921295,-77.3079232199463,39.0903092861997,24031700604,64.01294036,1.348740725,172627,0.000157804327226614,45.6,0.745252253980433,0.964028776978417
"LANDCELVA1",0.576812012091792,0.176910759301209,-77.2409740980646,38.8821441310748,51059460600,38.44345769,16.06148664,151932,0.00145924514082316,41.3,0.59219968798752,0.928122819260293
"LEONTESDC1",0.500225898191158,0.225730218787269,-77.0569116510095,38.934828003419,11001001302,9.400422031,58.55267795,84758,0.0047934846278881,35.2,0.293337019629527,0.998441639395356
"MANNJANDC1",0.386074946927822,0.144319114381483,-77.0575403477092,38.9725246018463,11001001500,60.19210468,6.894112475,193233,0.0012943166355961,46.7,0.651242502142245,0.977546296296296
"MCDOELIVA1",0.877180284892572,0.334952919402574,-77.0787779794571,38.7929788624742,51059420600,18.54713354,33.98009568,92292,0.00325951393315165,35.9,0.470069966312516,0.85875533862111
"MOLIKARMD1",0.612043479557097,0.216740403711992,-76.5350809983348,38.7039618017231,24009860401,8.527011599,36.94675413,85139,0.000540981780101032,36.5,0.507870430597112,0.926871552403467
"MORRCHRVA1",0.44703375401779,0.177212014691579,-77.2989499001777,39.0361218098143,51059480100,40.52244712,0.253957472,237656,0.000122611807140638,48.1,0.663575042158516,0.978835978835979
"MOSMCARMD1",0.553445016396536,0.181381381021408,-76.46771668999,39.0927183697406,24003731202,28.26881615,8.649559101,95029,0.000406236300174248,46.7,0.67585601404741,0.937092833876222
"NEWBCARVA1",0.267706609392998,0.12458473542776,-77.3272162411491,38.8893852637741,51059461201,92.1379243,0.000842028,191471,0.00045242590414026,45.3,0.755102040816326,0.98785046728972
"OBRICHRMD1",1.1975535147251,0.615004423029782,-76.924433,39.013183,24033806900,29.381,26.456,74977,0.00233923854114035,36,0.413595166163142,0.79812030075188
"ONTAHOUDC1",0.528861109979806,0.265267817795277,-77.0425825905497,38.9255468779107,11001003900,3.203243752,57.91625032,76563,0.0115004870856481,34,0.251689189189189,0.98580121703854
"PADORAMVA1",0.684768721812036,0.236123193949199,-77.1034207503836,38.7852933604881,51059420700,47.60664292,15.11515326,103071,0.00136285880455225,39.6,0.631733594515181,0.875763747454175
"PERRCHRMD1",0.277793558615061,0.125336713557902,-76.5480020347082,39.0104043301862,24003702702,98.61435002,0,133846,0.000268309211794368,50.9,0.733575437438098,0.972962680883473
"PHARAIMMD1",0.336154792030014,0.137436340927261,-76.4700864231309,39.0174585594387,24003730902,83.85746467,0.654714774,133333,0.000234863872589481,43.9,0.619517171030262,0.947833065810594
"PIROELADC1",0.555881837639992,0.208347251428985,-77.0823761439404,38.9574333758481,11001001100,14.99615988,47.63817169,121250,0.00254804119333263,47.5,0.488985586075605,0.968288177339901
"REITBOBMD1",0.68435560452638,0.231085502087878,-77.0205170238247,38.9942105859503,24031702402,26.15622598,20.05853178,67908,0.00443799863988456,35.6,0.354504756575266,0.906150919467343
"ROHRSALMD1",0.560314893552289,0.213342139499001,-76.5534926215145,38.8599418467417,24003701400,61.16224778,0.463756779,125304,6.49996626657194e-05,47.8,0.530943523841731,0.883748517200475
"SALOSHEMD1",0.568432809048121,0.177615173132898,-76.9210627714955,38.9272682853083,24033804200,44.62693072,19.82525979,1e+05,0.00121031174189908,43.8,0.476020610384463,0.928249097472924
"SCHLROBMD1",0.441339797431032,0.156518161216022,-76.8180577266688,39.3349910870118,24005402202,60.11733485,0,112813,7.54482264288014e-05,45.1,0.677873338545739,0.932139491046183
"SILLSCOMD1",0.981527788526954,0.417296058237806,-76.9916708940604,38.986237126623,24031701703,18.83333056,36.37380132,82986,0.00337644811805869,34.9,0.502449265220434,0.838371624345022
"STANJEFMD1",0.351464485553704,0.14636656423345,-77.0684569247117,38.9771970222736,24031705200,63.17800932,3.963088948,240568,0.0018166108287384,44.3,0.710852713178295,0.991035410129987
"STEWBETMD1",0.743493679540382,0.271466911496479,-76.9858815872099,39.0830059795057,24031701415,43.13767455,10.65494417,97955,0.00106238531387353,44.1,0.531874704863844,0.864243614931238
"STUECHRVA2",0.467428446714375,0.166047480100631,-77.1659731557755,38.9177084431297,51059470700,34.6713384,20.95810204,163466,0.00157955072378179,42.7,0.636871508379888,0.994577006507592
"STURCARMD1",0.501062600952777,0.183530300624301,-76.8734802465547,39.0030714340265,24033806708,52.33907446,34.19656587,49804,0.00177545572009475,37.9,0.316078431372549,0.958702967268278
"TATEJUAMD1",0.525778830344005,0.173031285527804,-76.5658336701947,38.9653292292578,24003702402,41.28186902,15.26069222,97481,0.000494249450739073,49,0.573143285821455,0.947294869235376
"VERSBETMD1",0.561526628081901,0.214865055420561,-76.5975293813626,38.7227781827962,24003708001,7.6317253,2.339798149,93438,8.73524339187549e-05,46.3,0.580520732883317,0.923432089265102
"VONGJENMD1",0.451495041209115,0.166330811071946,-77.1313422998469,39.0098526330768,24031704502,39.74295739,17.46857133,184500,0.00124994246183618,44.3,0.71105527638191,0.992671927846674
"WILLTERMD1",0.635405763767904,0.199869203040957,-76.9176544071728,38.930063504868,24033804200,27.76305275,36.48290231,1e+05,0.00121031174189908,43.8,0.476020610384463,0.928249097472924
"ZAMBTRAMD1",0.487215463296622,0.167249112240869,-77.0750031602788,38.9827751648912,24031705100,38.9206214,17.42568587,173092,0.00151775726292608,45.7,0.625303545410393,0.974764281752635
