"bandNumber","site","bandDate","age","sex","mass","wing","species","bandYear","bci","imp","can","imp2","can2","cCats","tCats","ch"
"1202-99062","REITBOBMD1",2009-05-10,"AHY","F",91,132,"AMRO",2009,1.00769532818101,20.05853178,26.15622598,402.34469716927,684.148157516827,0,0.833333333333333,"00000000010100000"
"1202-99063","REITBOBMD1",2009-05-10,"AHY","F",88,122,"AMRO",2009,2.18943453397727,20.05853178,26.15622598,402.34469716927,684.148157516827,0,0.833333333333333,"00000000011100000"
"1202-99069","ZAMBTRAMD1",2009-05-15,"AHY","M",68,120,"AMRO",2009,-0.227673114622261,17.42568587,38.9206214,303.654528039918,1514.81477016214,0.333333333333333,0.333333333333333,"00000000010000000"
"1202-99070","EGANMARMD1",2009-05-18,"AHY","M",76,122.5,"AMRO",2009,0.503820188373228,29.23324761,25.89846216,854.582765827571,670.730342252952,1,0.166666666666667,"00000000010000000"
"1202-99086","PADORAMVA1",2009-07-02,"AHY","F",73,127,"AMRO",2009,-0.496136894852163,15.11515326,47.60664292,228.467858073289,2266.39245011239,0,0,"00000000010000000"
"1202-99087","PADORAMVA1",2009-07-02,"AHY","M",74,132,"AMRO",2009,-0.980310304679031,15.11515326,47.60664292,228.467858073289,2266.39245011239,0,0,"00000000010000000"
"1202-99088","PADORAMVA1",2009-07-02,"AHY","F",70,124,"AMRO",2009,-0.49465840245185,15.11515326,47.60664292,228.467858073289,2266.39245011239,0,0,"00000000010000000"
"1202-99094","SILLSCOMD1",2009-07-14,"HY","U",70,124,"AMRO",2009,-0.49465840245185,36.37380132,18.83333056,1323.05342246683,354.69433998223,1.33333333333333,0.5,"00000000010000000"
"1232-87901","CAMPGLOMD1",2007-06-05,"HY","U",76.4,115,"AMRO",2007,1.75735992566452,10.51684714,43.02058961,110.604073766126,1850.77113039204,0.333333333333333,0.166666666666667,"00000001000000000"
"1232-87902","MOLIKARMD1",2007-06-07,"U","M",79.2,120,"AMRO",2007,1.32160127075941,36.94675413,8.527011599,1365.06264074267,72.7099268094805,1,0.5,"00000001010000000"
"1232-87903","PERRCHRMD1",2007-06-14,"AHY","M",71,115,"AMRO",2007,0.952212729763372,0,98.61435002,0,9724.79002986707,0,0,"00000001000000000"
"1232-87904","PERRCHRMD1",2007-06-14,"AHY","M",61,125,"AMRO",2007,-1.78164795468563,0,98.61435002,0,9724.79002986707,0,0,"00000001000000000"
"1232-87911","WILLTERMD1",2008-06-05,"AHY","F",78.9,120,"AMRO",2008,1.2801028497224,36.48290231,27.76305275,1331.002160961,770.787097999283,0.333333333333333,0.166666666666667,"00000000100011000"
"1232-87912","BALASUCMD1",2008-06-07,"AHY","M",76.6,127,"AMRO",2008,-0.0455034433813164,14.83659224,65.48449142,220.124469296028,4288.21861653605,0,0,"00000000110000000"
"1232-87913","BALASUCMD1",2008-06-07,"AHY","F",NA,NA,"AMRO",2008,NA,14.83659224,65.48449142,220.124469296028,4288.21861653605,0,0,"00000000111110000"
"1232-87914","BALASUCMD1",2008-06-07,"AHY","F",74,117,"AMRO",2008,1.06932443922417,14.83659224,65.48449142,220.124469296028,4288.21861653605,0,0,"00000000100000000"
"1232-87921","CAMPROSMD1",2008-06-25,"HY","F",80.1,127,"AMRO",2008,0.392612412215339,6.690999457,68.94950162,44.7694737335743,4754.03377364638,0,0,"00000000100000000"
"1232-87922","CAMPROSMD1",2008-06-25,"HY","U",69.5,125,"AMRO",2008,-0.687470276148487,6.690999457,68.94950162,44.7694737335743,4754.03377364638,0,0,"00000000100000000"
"1232-87923","WOLFKARDC1",2008-06-26,"AHY","M",75.3,129,"AMRO",2008,-0.464227053054084,48.631,5.22,2364.974161,27.2484,NA,0,"00000000100000000"
"1232-87924","WOLFKARDC1",2008-06-26,"AHY","M",77.6,126,"AMRO",2008,0.215934496726182,48.631,5.22,2364.974161,27.2484,NA,0,"00000000100000000"
"1232-87931","ONTAHOUDC1",2008-07-11,"AHY","F",70,118.5,"AMRO",2008,0.266013651771761,57.91625032,3.203243752,3354.2920511289,10.260770534727,0.333333333333333,0,"00000000100000000"
"1232-87932","ONTAHOUDC1",2008-07-11,"HY","U",50.2,80,"AMRO",2008,4.55396862783919,57.91625032,3.203243752,3354.2920511289,10.260770534727,0.333333333333333,0,"00000000100000000"
"1232-87933","ONTAHOUDC1",2008-07-11,"AHY","F",68.1,120,"AMRO",2008,-0.213840307609926,57.91625032,3.203243752,3354.2920511289,10.260770534727,0.333333333333333,0,"00000000100000000"
"1232-88302","MCDOELIVA1",2007-07-12,"AHY","M",48.4,113,"NOMO",2007,-0.931276997388578,33.98009568,18.54713354,1154.64690242195,343.996162550593,0.666666666666667,0,"00000001111011000"
"1232-88701","OLONMARDC1",2007-06-29,"AHY","F",NA,NA,"AMRO",2007,NA,29.959,26.327,897.541681,693.110929,NA,0.333333333333333,"00000001001000000"
"1232-94714","CAMPROSMD1",2013-07-19,"U","F",65.3,120,"AMRO",2013,-0.601158903955344,6.690999457,68.94950162,44.7694737335743,4754.03377364638,0,0,"00000000000001000"
"1232-94715","CAMPROSMD1",2013-07-19,"HY","U",71,118,"AMRO",2013,0.482541419783189,6.690999457,68.94950162,44.7694737335743,4754.03377364638,0,0,"00000000000001000"
"1232-94716","STUECHRVA2",2013-07-20,"AHY","M",76.6,129,"AMRO",2013,-0.305917872722822,20.95810204,34.6713384,439.242041119052,1202.10170644731,0,0,"00000000000001000"
"1232-94717","STUECHRVA2",2013-07-20,"AHY","M",72.1,122,"AMRO",2013,0.053158158635075,20.95810204,34.6713384,439.242041119052,1202.10170644731,0,0,"00000000000001000"
"1232-94724","SILLSCOMD1",2014-06-07,"AHY","M",75.5,129,"AMRO",2014,-0.439871794541581,36.37380132,18.83333056,1323.05342246683,354.69433998223,1.33333333333333,0.5,"00000000000000100"
